framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Codec,1,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,2,SL SH SF,2,12182,5,3,0,8,
defects4j,Codec,3,SL SH SF,2,12512,6,3,0,8,
defects4j,Codec,4,SL SH SF,2,4096,5,1,3,5,
defects4j,Codec,5,SH SF,7,12468,5,3,0,13,
defects4j,Codec,6,SF,3,21481,7,13,0,29,
defects4j,Codec,7,SL SH SF,1,6911,6,3,2,7,
defects4j,Codec,8,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,9,SL SH SF,9,11032,5,0,1,10,
defects4j,Codec,10,SL SH SF,2,19533,7,3,0,8,
defects4j,Codec,11,BF,,,,,,,Out of limited tokens. 
defects4j,Codec,12,BF,0,993039,,187,61,2583,
defects4j,Codec,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Codec,15,SF,3,52644,52,34,2,133,
defects4j,Codec,16,BF,,,,,,,Out of limited tokens. 
defects4j,Codec,17,SL SH SF,4,4404,4,0,1,5,
defects4j,Codec,18,SL SH SF,4,7527,5,1,0,6,
