framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Collections,1,SF,0,90870,,20,1,271,
defects4j,Collections,2,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,3,SL SH SF,2,5745,5,1,3,7,
defects4j,Collections,4,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,5,SF,1,6902,6,4,0,9,
defects4j,Collections,6,SF,3,21024,5,3,0,9,
defects4j,Collections,7,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,8,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,9,SL SH SF,2,4333,5,2,4,7,
defects4j,Collections,10,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,11,SH SF,4,29249,36,3,31,27,
defects4j,Collections,12,SH SF,3,81775,119,50,31,268,
defects4j,Collections,13,SH SF,3,6151,6,5,0,13,
defects4j,Collections,14,SH SF,1,48889,69,10,23,58,
defects4j,Collections,15,SF,5,20468,23,18,0,52,
defects4j,Collections,16,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,17,BF,4,21139,5,2,2,10,
defects4j,Collections,18,SF,2,20989,26,11,10,31,
defects4j,Collections,19,SF,4,6494,5,3,0,10,
defects4j,Collections,20,SF,0,165508,,94,2,1342,
defects4j,Collections,21,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,22,SF,6,9761,7,4,1,14,
defects4j,Collections,23,BF,4,39107,4,0,5,4,
defects4j,Collections,24,BF,1,97592,24,12,11,38,
defects4j,Collections,25,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,26,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,27,BF,,,,,,,Out of limited tokens. 
defects4j,Collections,28,BF,,,,,,,Out of limited tokens. 
