framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Compress,1,SL SH SF,1,6804,6,1,3,5,
defects4j,Compress,2,BF,3,130276,27,14,13,40,
defects4j,Compress,3,BF,,,,,,,Out of limited tokens. 
defects4j,Compress,4,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,5,SH SF,8,37246,17,7,5,24,
defects4j,Compress,6,BF,,,,,,,Out of limited tokens. 
defects4j,Compress,7,SF,7,10935,7,0,4,8,
defects4j,Compress,8,SF,0,382195,,197,6,2511,
defects4j,Compress,9,BF,,,,,,,Out of limited tokens. 
defects4j,Compress,10,SF,1,74047,45,21,18,67,
defects4j,Compress,11,SF,4,16487,6,3,2,10,
defects4j,Compress,12,SH SF,2,14517,8,5,7,15,
defects4j,Compress,13,SH SF,3,4563,4,0,0,3,
defects4j,Compress,14,SH SF,1,7822,5,2,1,6,
defects4j,Compress,15,SF,12,17501,5,0,1,12,
defects4j,Compress,16,SF,4,26810,8,9,2,23,
defects4j,Compress,17,SF,2,350868,257,206,7,1594,
defects4j,Compress,18,SF,1,25037,13,4,3,11,
defects4j,Compress,19,SL SH SF,4,9052,5,1,1,7,
defects4j,Compress,20,BF,,,,,,,Out of limited tokens. 
defects4j,Compress,21,SF,9,9547,7,3,0,15,
defects4j,Compress,22,BF,,,,,,,Out of limited tokens. 
defects4j,Compress,23,SL SH SF,9,10238,5,0,0,9,
defects4j,Compress,24,SF,1,11660,5,7,0,15,
defects4j,Compress,25,SL SH SF,1,17470,22,7,9,18,
defects4j,Compress,26,SH SF,8,7111,5,0,2,8,
defects4j,Compress,27,SH SF,5,12200,5,2,0,9,
defects4j,Compress,28,SF,11,10794,5,0,0,11,
defects4j,Compress,29,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,30,SH SF,2,6163,4,0,0,2,
defects4j,Compress,31,SH SF,5,7049,4,0,0,5,
defects4j,Compress,32,SF,2,12722,5,5,1,13,
defects4j,Compress,33,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,34,BF,,,,,,,Out of limited tokens. 
defects4j,Compress,35,SF,2,8521,7,6,0,14,
defects4j,Compress,36,SH SF,2,7940,7,1,6,9,
defects4j,Compress,37,SH SF,3,55862,41,8,32,37,
defects4j,Compress,38,SL SH SF,5,10098,10,3,5,13,
defects4j,Compress,39,BF,,,,,,,Out of limited tokens. 
defects4j,Compress,40,SF,0,242882,,60,5,842,
defects4j,Compress,41,SF,1,26464,7,2,6,9,
defects4j,Compress,42,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Compress,43,BF,,,,,,,Out of limited tokens. 
defects4j,Compress,44,SF,5,4752,4,1,4,8,
defects4j,Compress,45,SF,5,8982,6,4,1,14,
defects4j,Compress,46,SH SF,7,14690,5,2,1,12,
defects4j,Compress,47,BF,,,,,,,Out of limited tokens. 
