framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Csv,1,SL SH SF,3,11579,17,7,3,19,
defects4j,Csv,2,SF,8,6034,5,2,0,12,
defects4j,Csv,3,SF,0,268359,,1,217,130,
defects4j,Csv,4,SL SH SF,2,3815,5,1,2,4,
defects4j,Csv,5,SF,6,6727,6,2,0,10,
defects4j,Csv,6,SF,4,13979,18,0,8,9,
defects4j,Csv,7,BF,,,,,,,Out of limited tokens. 
defects4j,Csv,8,BF,,,,,,,Out of limited tokens. 
defects4j,Csv,9,SH SF,1,5028,5,1,2,5,
defects4j,Csv,10,SH SF,4,11144,10,0,17,9,
defects4j,Csv,11,SL SH SF,1,6112,5,0,1,1,
defects4j,Csv,12,BF,,,,,,,Out of limited tokens. 
defects4j,Csv,13,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Csv,14,SL SH SF,4,13727,6,5,1,14,
defects4j,Csv,15,SH SF,5,19099,6,0,7,8,
defects4j,Csv,16,BF,,,,,,,Out of limited tokens. 
