framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Gson,1,BF,3,234838,59,51,6,196,
defects4j,Gson,2,BF,,,,,,,Out of limited tokens. 
defects4j,Gson,3,BF,2,72073,9,7,5,16,
defects4j,Gson,4,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Gson,5,SL SH SF,13,30153,5,1,0,15,
defects4j,Gson,6,SF,0,208107,,0,182,95,
defects4j,Gson,7,BF,,,,,,,Out of limited tokens. 
defects4j,Gson,8,BF,18,55445,5,0,0,18,
defects4j,Gson,9,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Gson,10,SH SF,3,41156,60,13,32,62,
defects4j,Gson,11,SL SH SF,1,3510,4,0,2,3,
defects4j,Gson,12,SF,14,11209,6,1,3,16,
defects4j,Gson,13,SL SH SF,1,33035,9,7,2,16,
defects4j,Gson,14,BF,,,,,,,Out of limited tokens. 
defects4j,Gson,15,SL SH SF,5,5146,5,1,0,7,
defects4j,Gson,16,SF,7,25995,6,2,3,13,
defects4j,Gson,17,SH SF,1,4800,5,4,3,10,
defects4j,Gson,18,SF,2,28434,27,15,4,42,
