framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Lang,1,SF,2,40737,6,6,1,14,
defects4j,Lang,3,SF,1,1030086,254,108,26,1243,
defects4j,Lang,4,BF,6,25684,7,1,0,8,
defects4j,Lang,5,SF,9,32285,6,6,1,21,
defects4j,Lang,6,SL SH SF,5,18656,18,12,2,29,
defects4j,Lang,7,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,8,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,9,SH SF,1,120028,111,58,11,228,
defects4j,Lang,10,SF,3,54288,51,29,1,108,
defects4j,Lang,11,SH SF,9,35257,16,4,7,22,
defects4j,Lang,12,SF,6,24623,9,5,1,16,
defects4j,Lang,13,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,14,SF,3,5927,4,1,0,5,
defects4j,Lang,15,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,16,SL SH SF,5,28263,5,1,0,7,
defects4j,Lang,17,SF,3,9563,7,7,1,18,
defects4j,Lang,19,SF,4,19209,9,8,0,20,
defects4j,Lang,20,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,21,SL SH SF,2,8038,5,1,0,4,
defects4j,Lang,22,SF,3,20428,6,4,2,13,
defects4j,Lang,23,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,24,SL SH SF,4,30841,5,0,0,4,
defects4j,Lang,26,SL SH SF,3,6608,5,2,0,7,
defects4j,Lang,27,SF,5,43965,7,6,0,17,
defects4j,Lang,28,SF,11,15846,5,1,2,13,
defects4j,Lang,29,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,30,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,31,SF,12,14597,5,2,1,16,
defects4j,Lang,32,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,33,SL SH SF,,,,,,,Out of limited tokens. 
defects4j,Lang,34,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,35,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,36,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,37,SF,3,14059,5,11,1,25,
defects4j,Lang,38,SL SH SF,3,5528,5,1,3,7,
defects4j,Lang,39,SH SF,7,21961,5,2,1,12,
defects4j,Lang,40,SH SF,1,7027,6,5,1,12,
defects4j,Lang,41,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,42,SF,0,150273,,50,0,753,
defects4j,Lang,43,SL SH SF,1,7721,8,2,0,5,
defects4j,Lang,44,SH SF,7,19598,5,0,1,7,
defects4j,Lang,45,SH SF,3,10534,5,0,0,3,
defects4j,Lang,46,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,47,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,49,SH SF,2,16132,17,12,2,26,
defects4j,Lang,50,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,51,SL SH SF,2,10914,5,0,2,4,
defects4j,Lang,52,SH SF,3,8611,4,0,1,4,
defects4j,Lang,53,SF,9,53081,7,6,1,21,
defects4j,Lang,54,SH SF,5,25214,18,11,3,28,
defects4j,Lang,55,SF,1,4648,5,1,1,3,
defects4j,Lang,56,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,57,SL SH SF,6,5013,5,2,3,11,
defects4j,Lang,58,SH SF,3,14162,5,0,3,6,
defects4j,Lang,59,SL SH SF,4,5984,6,0,0,4,
defects4j,Lang,60,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,61,SL SH SF,1,5238,5,1,0,3,
defects4j,Lang,62,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,63,BF,,,,,,,Out of limited tokens. 
defects4j,Lang,64,BF,6,42541,5,1,3,9,
defects4j,Lang,65,SF,0,1125801,,251,38,3139,
