framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
defects4j,Mockito,1,SH SF,5,12078,10,9,0,23,
defects4j,Mockito,2,BF,0,115074,,32,16,470,
defects4j,Mockito,3,BF,0,776725,,118,87,1542,
defects4j,Mockito,4,BF,,,,,,,Out of limited tokens. 
defects4j,Mockito,5,SL SH SF,4,20242,27,12,8,32,
defects4j,Mockito,6,BF,,,,,,,Out of limited tokens. 
defects4j,Mockito,7,SL SH SF,0,221498,,98,87,1438,
defects4j,Mockito,8,SL SH SF,3,15355,7,14,2,32,
defects4j,Mockito,9,BF,1,30243,13,3,14,16,
defects4j,Mockito,10,BF,3,76736,16,13,2,30,
defects4j,Mockito,11,BF,5,12454,5,0,3,6,
defects4j,Mockito,12,SF,17,13834,8,2,2,23,
defects4j,Mockito,13,SF,6,22841,7,6,0,18,
defects4j,Mockito,14,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,15,BF,5,96141,70,16,41,100,
defects4j,Mockito,16,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,17,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,18,SH SF,4,447885,415,29,238,419,
defects4j,Mockito,19,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,20,SF,0,534141,,150,203,1978,
defects4j,Mockito,21,BF,11,20820,5,3,0,17,
defects4j,Mockito,22,SH SF,4,16253,12,7,6,22,
defects4j,Mockito,23,BF,2,53092,10,9,4,20,
defects4j,Mockito,24,SL SH SF,3,6086,5,1,2,7,
defects4j,Mockito,25,BF,0,932758,,161,140,2169,
defects4j,Mockito,26,SL SH SF,3,10992,5,0,0,3,
defects4j,Mockito,27,SH SF,1,45291,64,6,39,48,
defects4j,Mockito,28,SH SF,1,22327,30,10,22,32,
defects4j,Mockito,29,SL SH SF,3,5681,5,0,0,3,
defects4j,Mockito,30,OT,,,,,,,"Not SL, SH or SF bug. "
defects4j,Mockito,31,BF,17,40982,6,0,1,17,
defects4j,Mockito,32,BF,1,15299,5,0,3,2,
defects4j,Mockito,33,SF,3,5961,5,2,4,10,
defects4j,Mockito,34,SL SH SF,2,5410,5,0,1,3,
defects4j,Mockito,35,BF,,,,,,,Out of limited tokens. 
defects4j,Mockito,36,BF,1,77482,16,1,15,10,
defects4j,Mockito,37,BF,4,27729,13,0,9,9,
defects4j,Mockito,38,SL SH SF,5,5063,4,0,0,5,
