framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
humanevaljava,humanevaljava,ADD,BF,1,419,1,0,0,1,
humanevaljava,humanevaljava,ADD_ELEMENTS,BF,1,683,1,0,0,1,
humanevaljava,humanevaljava,ADD_EVEN_AT_ODD,BF,1,545,1,0,0,1,
humanevaljava,humanevaljava,ALL_PREFIXES,BF,1,522,1,0,0,1,
humanevaljava,humanevaljava,ANTI_SHUFFLE,BF,1,634,1,0,0,1,
humanevaljava,humanevaljava,ANY_INT,BF,1,571,1,0,0,1,
humanevaljava,humanevaljava,BELOW_THRESHOLD,BF,1,526,1,0,0,1,
humanevaljava,humanevaljava,BELOW_ZERO,BF,1,457,1,0,0,1,
humanevaljava,humanevaljava,BF,BF,1,910,1,0,0,1,
humanevaljava,humanevaljava,BY_LENGTH,BF,1,1312,1,0,0,1,
humanevaljava,humanevaljava,CAN_ARRANGE,BF,1,670,1,0,0,1,
humanevaljava,humanevaljava,CAR_RACE_COLLISION,BF,1,515,1,0,0,1,
humanevaljava,humanevaljava,CHANGE_BASE,BF,1,544,1,0,0,1,
humanevaljava,humanevaljava,CHECK_DICT_CASE,BF,1,934,1,0,0,1,
humanevaljava,humanevaljava,CHECK_IF_LAST_CHAR_IS_A_LETTER,BF,1,782,1,0,0,1,
humanevaljava,humanevaljava,CHOOSE_NUM,BF,1,536,1,0,0,1,
humanevaljava,humanevaljava,CIRCULAR_SHIFT,BF,1,659,1,0,0,1,
humanevaljava,humanevaljava,CLOSEST_INTEGER,BF,1,762,1,0,0,1,
humanevaljava,humanevaljava,COMMON,BF,1,802,1,0,0,1,
humanevaljava,humanevaljava,COMPARE,BF,1,657,1,0,0,1,
humanevaljava,humanevaljava,COMPARE_ONE,BF,1,905,1,0,0,1,
humanevaljava,humanevaljava,CONCATENATE,BF,1,404,1,0,0,1,
humanevaljava,humanevaljava,CORRECT_BRACKETING,BF,1,575,1,0,0,1,
humanevaljava,humanevaljava,COUNT_DISTINCT_CHARACTERS,BF,1,480,1,0,0,1,
humanevaljava,humanevaljava,COUNT_NUMS,BF,0,13553,,16,6,22,
humanevaljava,humanevaljava,COUNT_UPPER,BF,1,582,1,0,0,1,
humanevaljava,humanevaljava,COUNT_UP_TO,BF,1,712,1,0,0,1,
humanevaljava,humanevaljava,CYCPATTERN_CHECK,BF,1,725,1,0,0,1,
humanevaljava,humanevaljava,DECIMAL_TO_BINARY,BF,1,552,1,0,0,1,
humanevaljava,humanevaljava,DECODE_CYCLIC,BF,1,829,1,0,0,1,
humanevaljava,humanevaljava,DECODE_SHIFT,BF,1,763,1,0,0,1,
humanevaljava,humanevaljava,DERIVATIVE,BF,1,611,1,0,0,1,
humanevaljava,humanevaljava,DIGITS,BF,1,570,1,0,0,1,
humanevaljava,humanevaljava,DIGIT_SUM,BF,1,558,1,0,0,1,
humanevaljava,humanevaljava,DOUBLE_THE_DIFFERENCE,BF,1,668,1,0,0,1,
humanevaljava,humanevaljava,DO_ALGEBRA,BF,1,842,1,0,0,1,
humanevaljava,humanevaljava,EAT,BF,1,706,1,0,0,1,
humanevaljava,humanevaljava,ENCODE,BF,1,742,1,0,0,1,
humanevaljava,humanevaljava,ENCRYPT,BF,1,666,1,0,0,1,
humanevaljava,humanevaljava,EVEN_ODD_COUNT,BF,1,629,1,0,0,1,
humanevaljava,humanevaljava,EVEN_ODD_PALINDROME,BF,1,1015,1,0,0,1,
humanevaljava,humanevaljava,EXCHANGE,BF,1,817,1,0,0,1,
humanevaljava,humanevaljava,FACTORIAL,BF,1,737,1,0,0,1,
humanevaljava,humanevaljava,FACTORIZE,BF,1,556,1,0,0,1,
humanevaljava,humanevaljava,FIB,BF,1,395,1,0,0,1,
humanevaljava,humanevaljava,FIB4,BF,1,762,1,0,0,1,
humanevaljava,humanevaljava,FIBFIB,BF,1,567,1,0,0,1,
humanevaljava,humanevaljava,FILE_NAME_CHECK,BF,1,950,1,0,0,1,
humanevaljava,humanevaljava,FILTER_BY_PREFIX,BF,1,561,1,0,0,1,
humanevaljava,humanevaljava,FILTER_BY_SUBSTRING,BF,1,562,1,0,0,1,
humanevaljava,humanevaljava,FILTER_INTEGERS,BF,1,538,1,0,0,1,
humanevaljava,humanevaljava,FIND_CLOSEST_ELEMENTS,BF,1,739,1,0,0,1,
humanevaljava,humanevaljava,FIND_MAX,BF,1,818,1,0,0,1,
humanevaljava,humanevaljava,FIND_ZERO,BF,1,4049,5,1,3,5,
humanevaljava,humanevaljava,FIX_SPACES,BF,1,801,1,0,0,1,
humanevaljava,humanevaljava,FIZZ_BUZZ,BF,1,594,1,0,0,1,
humanevaljava,humanevaljava,FLIP_CASE,BF,1,1073,2,0,1,2,
humanevaljava,humanevaljava,FRUIT_DISTRIBUTION,BF,1,717,1,0,0,1,
humanevaljava,humanevaljava,GENERATE_INTEGERS,BF,0,14226,,22,0,22,
humanevaljava,humanevaljava,GET_CLOSET_VOWEL,BF,1,936,1,0,0,1,
humanevaljava,humanevaljava,GET_MAX_TRIPLES,BF,1,821,1,0,0,1,
humanevaljava,humanevaljava,GET_ODD_COLLATZ,BF,1,914,1,0,0,1,
humanevaljava,humanevaljava,GET_POSITIVE,BF,1,521,1,0,0,1,
humanevaljava,humanevaljava,GET_ROW,BF,1,2449,2,1,0,2,
humanevaljava,humanevaljava,GREATEST_COMMON_DIVISOR,BF,1,905,2,0,1,2,
humanevaljava,humanevaljava,HAS_CLOSE_ELEMENTS,BF,1,578,1,0,0,1,
humanevaljava,humanevaljava,HEX_KEY,BF,1,760,1,0,0,1,
humanevaljava,humanevaljava,HISTOGRAM,BF,1,957,1,0,0,1,
humanevaljava,humanevaljava,HOW_MANY_TIMES,BF,1,505,1,0,0,1,
humanevaljava,humanevaljava,INCR_LIST,BF,1,579,1,0,0,1,
humanevaljava,humanevaljava,INTERSECTION,BF,1,932,1,0,0,1,
humanevaljava,humanevaljava,INTERSPERSE,BF,1,637,1,0,0,1,
humanevaljava,humanevaljava,INT_TO_MINI_ROMAN,BF,1,783,1,0,0,1,
humanevaljava,humanevaljava,ISCUBE,BF,1,661,1,0,0,1,
humanevaljava,humanevaljava,IS_BORED,BF,1,586,1,0,0,1,
humanevaljava,humanevaljava,IS_EQUAL_TO_SUM_EVEN,BF,1,572,1,0,0,1,
humanevaljava,humanevaljava,IS_HAPPY,BF,1,1279,2,0,1,2,
humanevaljava,humanevaljava,IS_MULTIPLY_PRIME,BF,1,743,1,0,0,1,
humanevaljava,humanevaljava,IS_NESTED,BF,0,18968,,22,0,22,
humanevaljava,humanevaljava,IS_PALINDROME,BF,1,540,1,0,0,1,
humanevaljava,humanevaljava,IS_PRIME,BF,1,462,1,0,0,1,
humanevaljava,humanevaljava,IS_SIMPLE_POWER,BF,1,1908,3,2,0,3,
humanevaljava,humanevaljava,IS_SORTED,BF,1,906,1,0,0,1,
humanevaljava,humanevaljava,LARGEST_DIVISOR,BF,1,903,2,0,1,2,
humanevaljava,humanevaljava,LARGEST_PRIME_FACTOR,BF,1,701,1,0,0,1,
humanevaljava,humanevaljava,LARGEST_SMALLEST_INTEGERS,BF,1,915,1,0,0,1,
humanevaljava,humanevaljava,LONGEST,BF,1,510,1,0,0,1,
humanevaljava,humanevaljava,MAKE_A_PILE,BF,1,652,1,0,0,1,
humanevaljava,humanevaljava,MAKE_PALINDROME,BF,1,664,1,0,0,1,
humanevaljava,humanevaljava,MATCH_PARENS,BF,1,787,1,0,0,1,
humanevaljava,humanevaljava,MAXIMUM_K,BF,1,950,1,0,0,1,
humanevaljava,humanevaljava,MAX_ELEMENT,BF,1,470,1,0,0,1,
humanevaljava,humanevaljava,MAX_FILL,BF,1,903,1,0,0,1,
humanevaljava,humanevaljava,MEAN_ABSOLUTE_DEVIATION,BF,1,1181,2,0,1,2,
humanevaljava,humanevaljava,MEDIAN,BF,1,604,1,0,0,1,
humanevaljava,humanevaljava,MIN_PATH,BF,1,1449,1,0,0,1,
humanevaljava,humanevaljava,MIN_SUBARRAY_SUM,BF,1,710,1,0,0,1,
humanevaljava,humanevaljava,MODP,BF,1,544,1,0,0,1,
humanevaljava,humanevaljava,MONOTONIC,BF,1,721,1,0,0,1,
humanevaljava,humanevaljava,MOVE_ONE_BALL,BF,1,1636,2,0,1,2,
humanevaljava,humanevaljava,MULTIPLY,BF,1,559,1,0,0,1,
humanevaljava,humanevaljava,NEXT_SMALLEST,BF,1,653,1,0,0,1,
humanevaljava,humanevaljava,NUMERICAL_LETTER_GRADE,BF,1,1380,1,0,0,1,
humanevaljava,humanevaljava,ODD_COUNT,BF,1,871,1,0,0,1,
humanevaljava,humanevaljava,ORDER_BY_POINTS,BF,0,24484,,22,0,22,
humanevaljava,humanevaljava,PAIRS_SUM_TO_ZERO,BF,1,577,1,0,0,1,
humanevaljava,humanevaljava,PARSE_MUSIC,BF,1,612,1,0,0,1,
humanevaljava,humanevaljava,PARSE_NESTED_PARENS,BF,1,677,1,0,0,1,
humanevaljava,humanevaljava,PLUCK,BF,1,894,1,0,0,1,
humanevaljava,humanevaljava,PRIME_FIB,BF,1,732,1,0,0,1,
humanevaljava,humanevaljava,PRIME_LENGTH,BF,1,534,1,0,0,1,
humanevaljava,humanevaljava,PROD_SIGNS,BF,1,711,1,0,0,1,
humanevaljava,humanevaljava,REMOVE_DUPLICATES,BF,1,625,1,0,0,1,
humanevaljava,humanevaljava,REMOVE_VOWELS,BF,1,625,1,0,0,1,
humanevaljava,humanevaljava,RESCALE_TO_UNIT,BF,1,1356,2,0,1,2,
humanevaljava,humanevaljava,REVERSE_DELETE,BF,1,801,1,0,0,1,
humanevaljava,humanevaljava,RIGHT_ANGLE_TRIANGLE,BF,1,544,1,0,0,1,
humanevaljava,humanevaljava,ROLLING_MAX,BF,1,578,1,0,0,1,
humanevaljava,humanevaljava,ROUNDED_AVG,BF,1,757,1,0,0,1,
humanevaljava,humanevaljava,SAME_CHARS,BF,1,653,1,0,0,1,
humanevaljava,humanevaljava,SEARCH,BF,1,762,1,0,0,1,
humanevaljava,humanevaljava,SELECT_WORDS,BF,1,877,1,0,0,1,
humanevaljava,humanevaljava,SEPARATE_PAREN_GROUPS,BF,1,709,1,0,0,1,
humanevaljava,humanevaljava,SIMPLIFY,BF,1,680,1,0,0,1,
humanevaljava,humanevaljava,SKJKASDKD,BF,1,980,1,0,0,1,
humanevaljava,humanevaljava,SMALLEST_CHANGE,BF,1,823,1,0,0,1,
humanevaljava,humanevaljava,SOLUTION,BF,1,599,1,0,0,1,
humanevaljava,humanevaljava,SOLVE,BF,1,588,1,0,0,1,
humanevaljava,humanevaljava,SOLVE_STRING,BF,1,740,1,0,0,1,
humanevaljava,humanevaljava,SORTED_LIST_SUM,BF,1,799,1,0,0,1,
humanevaljava,humanevaljava,SORT_ARRAY,BF,1,847,1,0,0,1,
humanevaljava,humanevaljava,SORT_ARRAY_BINARY,BF,1,1018,1,0,0,1,
humanevaljava,humanevaljava,SORT_EVEN,BF,1,679,1,0,0,1,
