bug,file_name
ADD,humanevaljava_ADD_0.diff
ADD_EVEN_AT_ODD,humanevaljava_ADD_EVEN_AT_ODD_0.diff
ALL_PREFIXES,humanevaljava_ALL_PREFIXES_0.diff
ANTI_SHUFFLE,humanevaljava_ANTI_SHUFFLE_0.diff
ANY_INT,humanevaljava_ANY_INT_0.diff
BELOW_THRESHOLD,humanevaljava_BELOW_THRESHOLD_0.diff
BELOW_ZERO,humanevaljava_BELOW_ZERO_0.diff
BF,humanevaljava_BF_0.diff
BY_LENGTH,humanevaljava_BY_LENGTH_0.diff
CAN_ARRANGE,humanevaljava_CAN_ARRANGE_0.diff
CAR_RACE_COLLISION,humanevaljava_CAR_RACE_COLLISION_0.diff
CHANGE_BASE,humanevaljava_CHANGE_BASE_0.diff
CHECK_DICT_CASE,humanevaljava_CHECK_DICT_CASE_0.diff
CHECK_IF_LAST_CHAR_IS_A_LETTER,humanevaljava_CHECK_IF_LAST_CHAR_IS_A_LETTER_0.diff
CHOOSE_NUM,humanevaljava_CHOOSE_NUM_0.diff
CIRCULAR_SHIFT,humanevaljava_CIRCULAR_SHIFT_0.diff
CLOSEST_INTEGER,humanevaljava_CLOSEST_INTEGER_0.diff
COMMON,humanevaljava_COMMON_0.diff
COMPARE,humanevaljava_COMPARE_0.diff
COMPARE_ONE,humanevaljava_COMPARE_ONE_0.diff
CONCATENATE,humanevaljava_CONCATENATE_0.diff
CORRECT_BRACKETING,humanevaljava_CORRECT_BRACKETING_0.diff
COUNT_DISTINCT_CHARACTERS,humanevaljava_COUNT_DISTINCT_CHARACTERS_0.diff
COUNT_UP_TO,humanevaljava_COUNT_UP_TO_0.diff
COUNT_UPPER,humanevaljava_COUNT_UPPER_0.diff
CYCPATTERN_CHECK,humanevaljava_CYCPATTERN_CHECK_0.diff
DECIMAL_TO_BINARY,humanevaljava_DECIMAL_TO_BINARY_0.diff
DECODE_CYCLIC,humanevaljava_DECODE_CYCLIC_0.diff
DECODE_SHIFT,humanevaljava_DECODE_SHIFT_0.diff
DERIVATIVE,humanevaljava_DERIVATIVE_0.diff
DIGIT_SUM,humanevaljava_DIGIT_SUM_0.diff
DIGITS,humanevaljava_DIGITS_0.diff
DO_ALGEBRA,humanevaljava_DO_ALGEBRA_0.diff
DOUBLE_THE_DIFFERENCE,humanevaljava_DOUBLE_THE_DIFFERENCE_0.diff
EAT,humanevaljava_EAT_0.diff
ENCODE,humanevaljava_ENCODE_0.diff
ENCRYPT,humanevaljava_ENCRYPT_0.diff
EVEN_ODD_COUNT,humanevaljava_EVEN_ODD_COUNT_0.diff
EVEN_ODD_PALINDROME,humanevaljava_EVEN_ODD_PALINDROME_0.diff
EXCHANGE,humanevaljava_EXCHANGE_0.diff
FACTORIAL,humanevaljava_FACTORIAL_0.diff
FACTORIZE,humanevaljava_FACTORIZE_0.diff
FIB,humanevaljava_FIB_0.diff
FIB4,humanevaljava_FIB4_0.diff
FIBFIB,humanevaljava_FIBFIB_0.diff
FILE_NAME_CHECK,humanevaljava_FILE_NAME_CHECK_0.diff
FILTER_BY_PREFIX,humanevaljava_FILTER_BY_PREFIX_0.diff
FILTER_BY_SUBSTRING,humanevaljava_FILTER_BY_SUBSTRING_0.diff
FILTER_INTEGERS,humanevaljava_FILTER_INTEGERS_0.diff
FIND_CLOSEST_ELEMENTS,humanevaljava_FIND_CLOSEST_ELEMENTS_0.diff
FIND_MAX,humanevaljava_FIND_MAX_0.diff
FIND_ZERO,humanevaljava_FIND_ZERO_0.diff
FIX_SPACES,humanevaljava_FIX_SPACES_0.diff
FIZZ_BUZZ,humanevaljava_FIZZ_BUZZ_0.diff
FLIP_CASE,humanevaljava_FLIP_CASE_0.diff
FRUIT_DISTRIBUTION,humanevaljava_FRUIT_DISTRIBUTION_0.diff
GET_CLOSET_VOWEL,humanevaljava_GET_CLOSET_VOWEL_0.diff
GET_MAX_TRIPLES,humanevaljava_GET_MAX_TRIPLES_0.diff
GET_ODD_COLLATZ,humanevaljava_GET_ODD_COLLATZ_0.diff
GET_POSITIVE,humanevaljava_GET_POSITIVE_0.diff
GET_ROW_,humanevaljava_GET_ROW_0.diff
GREATEST_COMMON_DIVISOR,humanevaljava_GREATEST_COMMON_DIVISOR_0.diff
HAS_CLOSE_ELEMENTS,humanevaljava_HAS_CLOSE_ELEMENTS_0.diff
HEX_KEY,humanevaljava_HEX_KEY_0.diff
HISTOGRAM,humanevaljava_HISTOGRAM_0.diff
HOW_MANY_TIMES,humanevaljava_HOW_MANY_TIMES_0.diff
INCR_LIST,humanevaljava_INCR_LIST_0.diff
INT_TO_MINI_ROMAN,humanevaljava_INT_TO_MINI_ROMAN_0.diff
INTERSECTION,humanevaljava_INTERSECTION_0.diff
INTERSPERSE,humanevaljava_INTERSPERSE_0.diff
IS_BORED,humanevaljava_IS_BORED_0.diff
IS_EQUAL_TO_SUM_EVEN,humanevaljava_IS_EQUAL_TO_SUM_EVEN_0.diff
IS_HAPPY,humanevaljava_IS_HAPPY_0.diff
IS_MULTIPLY_PRIME,humanevaljava_IS_MULTIPLY_PRIME_0.diff
IS_PALINDROME,humanevaljava_IS_PALINDROME_0.diff
IS_PRIME,humanevaljava_IS_PRIME_0.diff
IS_SIMPLE_POWER,humanevaljava_IS_SIMPLE_POWER_0.diff
IS_SORTED,humanevaljava_IS_SORTED_0.diff
ISCUBE，humanevaljava_ISCUBE_0.diff
LARGEST_DIVISOR,humanevaljava_LARGEST_DIVISOR_0.diff
LARGEST_PRIME_FACTOR,humanevaljava_LARGEST_PRIME_FACTOR_0.diff
LARGEST_SMALLEST_INTEGERS,humanevaljava_LARGEST_SMALLEST_INTEGERS_0.diff
LONGEST,humanevaljava_LONGEST_0.diff
MAKE_A_PILE,humanevaljava_MAKE_A_PILE_0.diff
MAKE_PALINDROME,humanevaljava_MAKE_PALINDROME_0.diff
MATCH_PARENS,humanevaljava_MATCH_PARENS_0.diff
MAX_ELEMENT,humanevaljava_MAX_ELEMENT_0.diff
MAX_FILL,humanevaljava_MAX_FILL_0.diff
MAXIMUM_K,humanevaljava_MAXIMUM_K_0.diff
MEAN_ABSOLUTE_DEVIATION,humanevaljava_MEAN_ABSOLUTE_DEVIATION_0.diff
MEDIAN,humanevaljava_MEDIAN_0.diff
MIN_PATH,humanevaljava_MIN_PATH_0.diff
MIN_SUBARRAY_SUM,humanevaljava_MIN_SUBARRAY_SUM_0.diff
MODP,humanevaljava_MODP_0.diff
MOVE_ONE_BALL,humanevaljava_MOVE_ONE_BALL_0.diff
MULTIPLY,humanevaljava_MULTIPLY_0.diff
NEXT_SMALLEST,humanevaljava_NEXT_SMALLEST_0.diff
NUMERICAL_LETTER_GRADE,humanevaljava_NUMERICAL_LETTER_GRADE_0.diff
ODD_COUNT,humanevaljava_ODD_COUNT_0.diff
PAIRS_SUM_TO_ZERO,humanevaljava_PAIRS_SUM_TO_ZERO_0.diff
PARSE_MUSIC,humanevaljava_PARSE_MUSIC_0.diff
PARSE_NESTED_PARENS,humanevaljava_PARSE_NESTED_PARENS_0.diff
PLUCK,humanevaljava_PLUCK_0.diff
PRIME_LENGTH,humanevaljava_PRIME_LENGTH_0.diff
PROD_SIGNS,humanevaljava_PROD_SIGNS_0.diff
REMOVE_DUPLICATES,humanevaljava_REMOVE_DUPLICATES_0.diff
REMOVE_VOWELS,humanevaljava_REMOVE_VOWELS_0.diff
RESCALE_TO_UNIT,humanevaljava_RESCALE_TO_UNIT_0.diff
REVERSE_DELETE,humanevaljava_REVERSE_DELETE_0.diff
RIGHT_ANGLE_TRIANGLE,humanevaljava_RIGHT_ANGLE_TRIANGLE_0.diff
ROUNDED_AVG,humanevaljava_ROUNDED_AVG_0.diff
SAME_CHARS,humanevaljava_SAME_CHARS_0.diff
SEARCH,humanevaljava_SEARCH_0.diff
SELECT_WORDS,humanevaljava_SELECT_WORDS_0.diff
SIMPLIFY,humanevaljava_SIMPLIFY_0.diff
SKJKASDKD,humanevaljava_SKJKASDKD_0.diff
SMALLEST_CHANGE,humanevaljava_SMALLEST_CHANGE_0.diff
SOLUTION,humanevaljava_SOLUTION_0.diff
SOLVE,humanevaljava_SOLVE_0.diff
SOLVE_STRING,humanevaljava_SOLVE_STRING_0.diff
SORT_ARRAY_BINARY,humanevaljava_SORT_ARRAY_BINARY_0.diff
SORT_EVEN,humanevaljava_SORT_EVEN_0.diff
