framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
humanevaljava,humanevaljava,ADD,BF,1,432,1,0,0,1,
humanevaljava,humanevaljava,ADD_ELEMENTS,BF,1,849,1,0,0,1,
humanevaljava,humanevaljava,ADD_EVEN_AT_ODD,BF,1,559,1,0,0,1,
humanevaljava,humanevaljava,ALL_PREFIXES,BF,1,528,1,0,0,1,
humanevaljava,humanevaljava,ANTI_SHUFFLE,BF,1,768,1,0,0,1,
humanevaljava,humanevaljava,ANY_INT,BF,1,584,1,0,0,1,
humanevaljava,humanevaljava,BELOW_THRESHOLD,BF,1,521,1,0,0,1,
humanevaljava,humanevaljava,BELOW_ZERO,BF,1,464,1,0,0,1,
humanevaljava,humanevaljava,BF,BF,1,1152,1,0,0,1,
humanevaljava,humanevaljava,BY_LENGTH,BF,1,1324,1,0,0,1,
humanevaljava,humanevaljava,CAN_ARRANGE,BF,1,598,1,0,0,1,
humanevaljava,humanevaljava,CAR_RACE_COLLISION,BF,1,717,1,0,0,1,
humanevaljava,humanevaljava,CHANGE_BASE,BF,1,599,1,0,0,1,
humanevaljava,humanevaljava,CHECK_DICT_CASE,BF,1,1107,1,0,0,1,
humanevaljava,humanevaljava,CHECK_IF_LAST_CHAR_IS_A_LETTER,BF,1,746,1,0,0,1,
humanevaljava,humanevaljava,CHOOSE_NUM,BF,1,576,1,0,0,1,
humanevaljava,humanevaljava,CIRCULAR_SHIFT,BF,1,672,1,0,0,1,
humanevaljava,humanevaljava,CLOSEST_INTEGER,BF,1,1471,2,1,0,2,
humanevaljava,humanevaljava,COMMON,BF,1,905,1,0,0,1,
humanevaljava,humanevaljava,COMPARE,BF,1,667,1,0,0,1,
humanevaljava,humanevaljava,COMPARE_ONE,BF,1,1051,1,0,0,1,
humanevaljava,humanevaljava,CONCATENATE,BF,1,421,1,0,0,1,
humanevaljava,humanevaljava,CORRECT_BRACKETING,BF,1,574,1,0,0,1,
humanevaljava,humanevaljava,COUNT_DISTINCT_CHARACTERS,BF,1,492,1,0,0,1,
humanevaljava,humanevaljava,COUNT_NUMS,BF,0,15349,,20,2,22,
humanevaljava,humanevaljava,COUNT_UPPER,BF,1,636,1,0,0,1,
humanevaljava,humanevaljava,COUNT_UP_TO,BF,1,775,1,0,0,1,
humanevaljava,humanevaljava,CYCPATTERN_CHECK,BF,1,833,1,0,0,1,
humanevaljava,humanevaljava,DECIMAL_TO_BINARY,BF,1,550,1,0,0,1,
humanevaljava,humanevaljava,DECODE_CYCLIC,BF,1,1512,2,1,0,2,
humanevaljava,humanevaljava,DECODE_SHIFT,BF,1,852,1,0,0,1,
humanevaljava,humanevaljava,DERIVATIVE,BF,1,716,1,0,0,1,
humanevaljava,humanevaljava,DIGITS,BF,1,646,1,0,0,1,
humanevaljava,humanevaljava,DIGIT_SUM,BF,1,661,1,0,0,1,
humanevaljava,humanevaljava,DOUBLE_THE_DIFFERENCE,BF,1,773,1,0,0,1,
humanevaljava,humanevaljava,DO_ALGEBRA,BF,1,1032,1,0,0,1,
humanevaljava,humanevaljava,EAT,BF,1,730,1,0,0,1,
humanevaljava,humanevaljava,ENCODE,BF,1,790,1,0,0,1,
humanevaljava,humanevaljava,ENCRYPT,BF,1,668,1,0,0,1,
humanevaljava,humanevaljava,EVEN_ODD_COUNT,BF,1,1359,2,0,1,2,
humanevaljava,humanevaljava,EVEN_ODD_PALINDROME,BF,1,1211,1,0,0,1,
humanevaljava,humanevaljava,EXCHANGE,BF,1,1057,1,0,0,1,
humanevaljava,humanevaljava,FACTORIAL,BF,1,910,1,0,0,1,
humanevaljava,humanevaljava,FACTORIZE,BF,1,618,1,0,0,1,
humanevaljava,humanevaljava,FIB,BF,1,422,1,0,0,1,
humanevaljava,humanevaljava,FIB4,BF,1,893,1,0,0,1,
humanevaljava,humanevaljava,FIBFIB,BF,1,667,1,0,0,1,
humanevaljava,humanevaljava,FILE_NAME_CHECK,BF,1,964,1,0,0,1,
humanevaljava,humanevaljava,FILTER_BY_PREFIX,BF,1,564,1,0,0,1,
humanevaljava,humanevaljava,FILTER_BY_SUBSTRING,BF,1,567,1,0,0,1,
humanevaljava,humanevaljava,FILTER_INTEGERS,BF,1,558,1,0,0,1,
humanevaljava,humanevaljava,FIND_CLOSEST_ELEMENTS,BF,1,739,1,0,0,1,
humanevaljava,humanevaljava,FIND_MAX,BF,1,933,1,0,0,1,
humanevaljava,humanevaljava,FIND_ZERO,BF,1,2429,3,2,0,3,
humanevaljava,humanevaljava,FIX_SPACES,BF,1,949,1,0,0,1,
humanevaljava,humanevaljava,FIZZ_BUZZ,BF,1,604,1,0,0,1,
humanevaljava,humanevaljava,FLIP_CASE,BF,1,554,1,0,0,1,
humanevaljava,humanevaljava,FRUIT_DISTRIBUTION,BF,1,707,1,0,0,1,
humanevaljava,humanevaljava,GENERATE_INTEGERS,BF,0,18339,,20,2,22,
humanevaljava,humanevaljava,GET_CLOSET_VOWEL,BF,1,1072,1,0,0,1,
humanevaljava,humanevaljava,GET_MAX_TRIPLES,BF,1,880,1,0,0,1,
humanevaljava,humanevaljava,GET_ODD_COLLATZ,BF,1,1138,1,0,0,1,
humanevaljava,humanevaljava,GET_POSITIVE,BF,1,543,1,0,0,1,
humanevaljava,humanevaljava,GET_ROW,BF,1,7092,5,2,2,5,
humanevaljava,humanevaljava,GREATEST_COMMON_DIVISOR,BF,1,457,1,0,0,1,
humanevaljava,humanevaljava,HAS_CLOSE_ELEMENTS,BF,1,576,1,0,0,1,
humanevaljava,humanevaljava,HEX_KEY,BF,1,770,1,0,0,1,
humanevaljava,humanevaljava,HISTOGRAM,BF,1,1120,1,0,0,1,
humanevaljava,humanevaljava,HOW_MANY_TIMES,BF,1,511,1,0,0,1,
humanevaljava,humanevaljava,INCR_LIST,BF,1,683,1,0,0,1,
humanevaljava,humanevaljava,INTERSECTION,BF,1,3004,3,2,0,3,
humanevaljava,humanevaljava,INTERSPERSE,BF,1,656,1,0,0,1,
humanevaljava,humanevaljava,INT_TO_MINI_ROMAN,BF,1,787,1,0,0,1,
humanevaljava,humanevaljava,ISCUBE,BF,1,653,1,0,0,1,
humanevaljava,humanevaljava,IS_BORED,BF,1,1316,2,0,1,2,
humanevaljava,humanevaljava,IS_EQUAL_TO_SUM_EVEN,BF,1,567,1,0,0,1,
humanevaljava,humanevaljava,IS_HAPPY,BF,1,1313,2,0,1,2,
humanevaljava,humanevaljava,IS_MULTIPLY_PRIME,BF,1,969,1,0,0,1,
humanevaljava,humanevaljava,IS_NESTED,BF,0,19749,,22,0,22,
humanevaljava,humanevaljava,IS_PALINDROME,BF,1,589,1,0,0,1,
humanevaljava,humanevaljava,IS_PRIME,BF,1,476,1,0,0,1,
humanevaljava,humanevaljava,IS_SIMPLE_POWER,BF,1,611,1,0,0,1,
humanevaljava,humanevaljava,IS_SORTED,BF,1,1152,1,0,0,1,
humanevaljava,humanevaljava,LARGEST_DIVISOR,BF,1,472,1,0,0,1,
humanevaljava,humanevaljava,LARGEST_PRIME_FACTOR,BF,1,651,1,0,0,1,
humanevaljava,humanevaljava,LARGEST_SMALLEST_INTEGERS,BF,1,1881,2,0,1,2,
humanevaljava,humanevaljava,LONGEST,BF,1,515,1,0,0,1,
humanevaljava,humanevaljava,MAKE_A_PILE,BF,1,766,1,0,0,1,
humanevaljava,humanevaljava,MAKE_PALINDROME,BF,1,655,1,0,0,1,
humanevaljava,humanevaljava,MATCH_PARENS,BF,1,801,1,0,0,1,
humanevaljava,humanevaljava,MAXIMUM_K,BF,1,982,1,0,0,1,
humanevaljava,humanevaljava,MAX_ELEMENT,BF,1,496,1,0,0,1,
humanevaljava,humanevaljava,MAX_FILL,BF,1,1194,1,0,0,1,
humanevaljava,humanevaljava,MEAN_ABSOLUTE_DEVIATION,BF,1,588,1,0,0,1,
humanevaljava,humanevaljava,MEDIAN,BF,1,667,1,0,0,1,
humanevaljava,humanevaljava,MIN_PATH,BF,1,1650,1,0,0,1,
humanevaljava,humanevaljava,MIN_SUBARRAY_SUM,BF,1,789,1,0,0,1,
humanevaljava,humanevaljava,MODP,BF,1,538,1,0,0,1,
humanevaljava,humanevaljava,MONOTONIC,BF,1,637,1,0,0,1,
humanevaljava,humanevaljava,MOVE_ONE_BALL,BF,1,850,1,0,0,1,
humanevaljava,humanevaljava,MULTIPLY,BF,1,533,1,0,0,1,
humanevaljava,humanevaljava,NEXT_SMALLEST,BF,1,728,1,0,0,1,
humanevaljava,humanevaljava,NUMERICAL_LETTER_GRADE,BF,1,1348,1,0,0,1,
humanevaljava,humanevaljava,ODD_COUNT,BF,1,1133,1,0,0,1,
humanevaljava,humanevaljava,ORDER_BY_POINTS,BF,0,23783,,20,2,22,
humanevaljava,humanevaljava,PAIRS_SUM_TO_ZERO,BF,1,634,1,0,0,1,
humanevaljava,humanevaljava,PARSE_MUSIC,BF,1,619,1,0,0,1,
humanevaljava,humanevaljava,PARSE_NESTED_PARENS,BF,1,799,1,0,0,1,
humanevaljava,humanevaljava,PLUCK,BF,1,1157,1,0,0,1,
humanevaljava,humanevaljava,PRIME_FIB,BF,1,777,1,0,0,1,
humanevaljava,humanevaljava,PRIME_LENGTH,BF,1,703,1,0,0,1,
humanevaljava,humanevaljava,PROD_SIGNS,BF,1,736,1,0,0,1,
humanevaljava,humanevaljava,REMOVE_DUPLICATES,BF,1,4323,7,6,0,7,
humanevaljava,humanevaljava,REMOVE_VOWELS,BF,1,639,1,0,0,1,
humanevaljava,humanevaljava,RESCALE_TO_UNIT,BF,1,714,1,0,0,1,
humanevaljava,humanevaljava,REVERSE_DELETE,BF,1,2839,3,1,1,3,
humanevaljava,humanevaljava,RIGHT_ANGLE_TRIANGLE,BF,1,534,1,0,0,1,
humanevaljava,humanevaljava,ROLLING_MAX,BF,1,560,1,0,0,1,
humanevaljava,humanevaljava,ROUNDED_AVG,BF,1,1766,2,1,0,2,
humanevaljava,humanevaljava,SAME_CHARS,BF,1,811,1,0,0,1,
humanevaljava,humanevaljava,SEARCH,BF,1,921,1,0,0,1,
humanevaljava,humanevaljava,SELECT_WORDS,BF,1,1076,1,0,0,1,
humanevaljava,humanevaljava,SEPARATE_PAREN_GROUPS,BF,1,750,1,0,0,1,
humanevaljava,humanevaljava,SIMPLIFY,BF,1,720,1,0,0,1,
humanevaljava,humanevaljava,SKJKASDKD,BF,1,1051,1,0,0,1,
humanevaljava,humanevaljava,SMALLEST_CHANGE,BF,1,715,1,0,0,1,
humanevaljava,humanevaljava,SOLUTION,BF,1,707,1,0,0,1,
humanevaljava,humanevaljava,SOLVE,BF,1,595,1,0,0,1,
humanevaljava,humanevaljava,SOLVE_STRING,BF,1,723,1,0,0,1,
humanevaljava,humanevaljava,SORTED_LIST_SUM,BF,1,959,1,0,0,1,
humanevaljava,humanevaljava,SORT_ARRAY,BF,1,1016,1,0,0,1,
humanevaljava,humanevaljava,SORT_ARRAY_BINARY,BF,1,1226,1,0,0,1,
humanevaljava,humanevaljava,SORT_EVEN,BF,1,775,1,0,0,1,
humanevaljava,humanevaljava,SORT_NUMBERS,BF,1,773,1,0,0,1,
humanevaljava,humanevaljava,SORT_THIRD,BF,1,750,1,0,0,1,
humanevaljava,humanevaljava,SPECIAL_FACTORIAL,BF,1,601,1,0,0,1,
humanevaljava,humanevaljava,SPECIAL_FILTER,BF,1,825,1,0,0,1,
humanevaljava,humanevaljava,SPLIT_WORDS,BF,1,1597,2,1,0,2,
humanevaljava,humanevaljava,STARTS_ONE_ENDS,BF,1,9817,17,15,1,17,
humanevaljava,humanevaljava,STRANGE_SORT_LIST,BF,1,726,1,0,0,1,
humanevaljava,humanevaljava,STRING_SEQUENCE,BF,1,457,1,0,0,1,
humanevaljava,humanevaljava,STRING_TO_MD5,BF,1,715,1,0,0,1,
humanevaljava,humanevaljava,STRING_XOR,BF,1,1005,2,0,1,2,
humanevaljava,humanevaljava,STRLEN,BF,1,372,1,0,0,1,
humanevaljava,humanevaljava,STRONGEST_EXTENSION,BF,1,928,1,0,0,1,
humanevaljava,humanevaljava,SUM_PRODUCT,BF,1,527,1,0,0,1,
humanevaljava,humanevaljava,SUM_SQUARED_NUMS,BF,1,671,1,0,0,1,
humanevaljava,humanevaljava,SUM_SQUARES,BF,1,856,1,0,0,1,
humanevaljava,humanevaljava,SUM_TO_N,BF,1,523,1,0,0,1,
humanevaljava,humanevaljava,TOTAL_MATCH,BF,1,954,1,0,0,1,
humanevaljava,humanevaljava,TRI,BF,1,9799,10,9,0,10,
humanevaljava,humanevaljava,TRIANGLE_AREA,BF,1,460,1,0,0,1,
humanevaljava,humanevaljava,TRIANGLE_AREA_2,BF,1,817,1,0,0,1,
humanevaljava,humanevaljava,TRIPLES_SUM_TO_ZERO,BF,1,710,1,0,0,1,
humanevaljava,humanevaljava,TRUNCATE_NUMBER,BF,1,404,1,0,0,1,
humanevaljava,humanevaljava,UNIQUE,BF,1,663,1,0,0,1,
humanevaljava,humanevaljava,UNIQUE_DIGITS,BF,1,875,1,0,0,1,
humanevaljava,humanevaljava,VALID_DATE,BF,1,1322,1,0,0,1,
humanevaljava,humanevaljava,VOWELS_COUNT,BF,1,860,1,0,0,1,
