framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
humanevaljava,humanevaljava,ADD,BF,4,4476,2,0,0,4,
humanevaljava,humanevaljava,ADD_ELEMENTS,BF,12,20669,5,0,1,12,
humanevaljava,humanevaljava,ADD_EVEN_AT_ODD,BF,10,12811,4,0,0,10,
humanevaljava,humanevaljava,ALL_PREFIXES,BF,3,7588,4,0,0,3,
humanevaljava,humanevaljava,ANTI_SHUFFLE,BF,9,14425,3,0,0,9,
humanevaljava,humanevaljava,ANY_INT,BF,12,15790,4,0,0,12,
humanevaljava,humanevaljava,BELOW_THRESHOLD,BF,10,14920,5,0,0,10,
humanevaljava,humanevaljava,BELOW_ZERO,BF,2,14313,6,7,4,20,
humanevaljava,humanevaljava,BF,BF,12,28120,5,1,0,14,
humanevaljava,humanevaljava,BY_LENGTH,BF,15,35775,5,0,0,15,
humanevaljava,humanevaljava,CAN_ARRANGE,BF,9,15604,5,2,0,13,
humanevaljava,humanevaljava,CAR_RACE_COLLISION,BF,5,9333,3,1,1,8,
humanevaljava,humanevaljava,CHANGE_BASE,BF,15,16242,5,0,0,15,
humanevaljava,humanevaljava,CHECK_DICT_CASE,BF,15,31218,6,0,0,15,
humanevaljava,humanevaljava,CHECK_IF_LAST_CHAR_IS_A_LETTER,BF,5,14054,5,4,0,13,
humanevaljava,humanevaljava,CHOOSE_NUM,BF,9,12438,5,2,0,13,
humanevaljava,humanevaljava,CIRCULAR_SHIFT,BF,6,16763,6,4,1,15,
humanevaljava,humanevaljava,CLOSEST_INTEGER,BF,9,16883,5,2,0,13,
humanevaljava,humanevaljava,COMMON,BF,12,22600,4,0,0,12,
humanevaljava,humanevaljava,COMPARE,BF,7,13921,5,0,1,8,
humanevaljava,humanevaljava,COMPARE_ONE,BF,21,39214,7,0,0,21,
humanevaljava,humanevaljava,CONCATENATE,BF,10,9626,4,0,0,10,
humanevaljava,humanevaljava,CORRECT_BRACKETING,BF,12,14479,5,0,0,12,
humanevaljava,humanevaljava,COUNT_DISTINCT_CHARACTERS,BF,5,7780,3,1,0,7,
humanevaljava,humanevaljava,COUNT_NUMS,BF,1,94060,84,76,2,365,
humanevaljava,humanevaljava,COUNT_UPPER,BF,8,10713,3,0,0,8,
humanevaljava,humanevaljava,COUNT_UP_TO,BF,12,18343,4,0,0,12,
humanevaljava,humanevaljava,CYCPATTERN_CHECK,BF,12,17786,5,1,0,14,
humanevaljava,humanevaljava,DECIMAL_TO_BINARY,BF,7,11890,4,0,1,8,
humanevaljava,humanevaljava,DECODE_CYCLIC,BF,8,15903,5,3,0,14,
humanevaljava,humanevaljava,DECODE_SHIFT,BF,15,23455,5,0,0,15,
humanevaljava,humanevaljava,DERIVATIVE,BF,9,13952,4,0,0,9,
humanevaljava,humanevaljava,DIGITS,BF,14,19775,5,1,0,16,
humanevaljava,humanevaljava,DIGIT_SUM,BF,7,13269,5,2,0,11,
humanevaljava,humanevaljava,DOUBLE_THE_DIFFERENCE,BF,9,14047,4,0,1,10,
humanevaljava,humanevaljava,DO_ALGEBRA,BF,12,26771,5,2,0,16,
humanevaljava,humanevaljava,EAT,BF,7,14002,4,0,0,7,
humanevaljava,humanevaljava,ENCODE,BF,8,20188,5,3,2,14,
humanevaljava,humanevaljava,ENCRYPT,BF,18,22760,6,0,0,18,
humanevaljava,humanevaljava,EVEN_ODD_COUNT,BF,2,10508,3,1,0,4,
humanevaljava,humanevaljava,EVEN_ODD_PALINDROME,BF,9,25444,5,0,0,9,
humanevaljava,humanevaljava,EXCHANGE,BF,2,16310,5,7,0,16,
humanevaljava,humanevaljava,FACTORIAL,BF,9,16328,3,0,0,9,
humanevaljava,humanevaljava,FACTORIZE,BF,12,14747,4,0,0,12,
humanevaljava,humanevaljava,FIB,BF,9,7109,3,0,0,9,
humanevaljava,humanevaljava,FIB4,BF,9,15557,3,0,0,9,
humanevaljava,humanevaljava,FIBFIB,BF,12,14423,4,0,0,12,
humanevaljava,humanevaljava,FILE_NAME_CHECK,BF,11,26647,5,1,2,14,
humanevaljava,humanevaljava,FILTER_BY_PREFIX,BF,11,15173,5,0,0,11,
humanevaljava,humanevaljava,FILTER_BY_SUBSTRING,BF,4,11074,4,0,0,4,
humanevaljava,humanevaljava,FILTER_INTEGERS,BF,6,9498,4,0,0,6,
humanevaljava,humanevaljava,FIND_CLOSEST_ELEMENTS,BF,4,12204,5,3,0,10,
humanevaljava,humanevaljava,FIND_MAX,BF,8,20356,5,3,0,14,
humanevaljava,humanevaljava,FIND_ZERO,BF,2,10437,5,5,0,12,
humanevaljava,humanevaljava,FIX_SPACES,BF,12,20428,4,0,0,12,
humanevaljava,humanevaljava,FIZZ_BUZZ,BF,8,14779,5,3,0,14,
humanevaljava,humanevaljava,FLIP_CASE,BF,6,8890,3,0,0,6,
humanevaljava,humanevaljava,FRUIT_DISTRIBUTION,BF,12,15161,4,0,0,12,
humanevaljava,humanevaljava,GENERATE_INTEGERS,BF,5,15168,5,4,0,13,
humanevaljava,humanevaljava,GET_CLOSET_VOWEL,BF,13,24762,5,0,1,13,
humanevaljava,humanevaljava,GET_MAX_TRIPLES,BF,9,18329,4,1,0,11,
humanevaljava,humanevaljava,GET_ODD_COLLATZ,BF,7,15395,3,0,1,7,
humanevaljava,humanevaljava,GET_POSITIVE,BF,6,8342,3,0,0,6,
humanevaljava,humanevaljava,GET_ROW,BF,2,22907,6,3,3,9,
humanevaljava,humanevaljava,GREATEST_COMMON_DIVISOR,BF,9,12809,6,0,0,9,
humanevaljava,humanevaljava,HAS_CLOSE_ELEMENTS,BF,9,13223,5,0,0,9,
humanevaljava,humanevaljava,HEX_KEY,BF,9,18215,5,0,0,9,
humanevaljava,humanevaljava,HISTOGRAM,BF,9,23861,4,0,2,9,
humanevaljava,humanevaljava,HOW_MANY_TIMES,BF,4,11176,5,4,0,12,
humanevaljava,humanevaljava,INCR_LIST,BF,3,7360,2,0,0,3,
humanevaljava,humanevaljava,INTERSECTION,BF,3,18362,4,1,0,5,
humanevaljava,humanevaljava,INTERSPERSE,BF,9,11586,3,0,0,9,
humanevaljava,humanevaljava,INT_TO_MINI_ROMAN,BF,10,17225,4,0,0,10,
humanevaljava,humanevaljava,ISCUBE,BF,10,16520,5,2,0,14,
humanevaljava,humanevaljava,IS_BORED,BF,12,14522,4,0,1,12,
humanevaljava,humanevaljava,IS_EQUAL_TO_SUM_EVEN,BF,2,6426,4,4,0,10,
humanevaljava,humanevaljava,IS_HAPPY,BF,9,15401,5,0,0,9,
humanevaljava,humanevaljava,IS_MULTIPLY_PRIME,BF,5,16922,5,4,0,13,
humanevaljava,humanevaljava,IS_NESTED,BF,1,248046,172,162,1,1054,
humanevaljava,humanevaljava,IS_PALINDROME,BF,11,13964,5,0,0,11,
humanevaljava,humanevaljava,IS_PRIME,BF,9,10834,4,0,0,9,
humanevaljava,humanevaljava,IS_SIMPLE_POWER,BF,12,17254,5,1,0,14,
humanevaljava,humanevaljava,IS_SORTED,BF,14,35064,6,2,0,18,
humanevaljava,humanevaljava,LARGEST_DIVISOR,BF,9,11806,4,1,0,11,
humanevaljava,humanevaljava,LARGEST_PRIME_FACTOR,BF,13,19743,5,0,1,13,
humanevaljava,humanevaljava,LARGEST_SMALLEST_INTEGERS,BF,6,25034,6,1,9,8,
humanevaljava,humanevaljava,LONGEST,BF,7,12447,5,0,0,7,
humanevaljava,humanevaljava,MAKE_A_PILE,BF,15,21738,5,0,0,15,
humanevaljava,humanevaljava,MAKE_PALINDROME,BF,9,15118,5,1,0,11,
humanevaljava,humanevaljava,MATCH_PARENS,BF,10,20660,5,1,0,12,
humanevaljava,humanevaljava,MAXIMUM_K,BF,11,21115,5,0,2,12,
humanevaljava,humanevaljava,MAX_ELEMENT,BF,9,11131,4,0,0,9,
humanevaljava,humanevaljava,MAX_FILL,BF,9,20075,4,2,0,13,
humanevaljava,humanevaljava,MEAN_ABSOLUTE_DEVIATION,BF,2,6579,3,0,2,4,
humanevaljava,humanevaljava,MEDIAN,BF,6,10163,3,0,1,7,
humanevaljava,humanevaljava,MIN_PATH,BF,6,39860,7,6,1,18,
humanevaljava,humanevaljava,MIN_SUBARRAY_SUM,BF,15,24547,5,0,0,15,
humanevaljava,humanevaljava,MODP,BF,6,9100,4,2,0,10,
humanevaljava,humanevaljava,MONOTONIC,BF,12,18582,5,0,1,13,
humanevaljava,humanevaljava,MOVE_ONE_BALL,BF,4,14360,4,2,0,8,
humanevaljava,humanevaljava,MULTIPLY,BF,4,5172,2,1,0,6,
humanevaljava,humanevaljava,NEXT_SMALLEST,BF,12,17773,4,0,0,12,
humanevaljava,humanevaljava,NUMERICAL_LETTER_GRADE,BF,3,18197,4,0,0,3,
humanevaljava,humanevaljava,ODD_COUNT,BF,6,12903,3,0,0,6,
humanevaljava,humanevaljava,ORDER_BY_POINTS,BF,0,569228,,296,13,3648,
humanevaljava,humanevaljava,PAIRS_SUM_TO_ZERO,BF,9,14204,4,0,1,10,
humanevaljava,humanevaljava,PARSE_MUSIC,BF,6,10122,4,1,1,9,
humanevaljava,humanevaljava,PARSE_NESTED_PARENS,BF,6,11081,3,0,0,6,
humanevaljava,humanevaljava,PLUCK,BF,10,22841,5,0,0,10,
humanevaljava,humanevaljava,PRIME_FIB,BF,9,15600,5,2,0,13,
humanevaljava,humanevaljava,PRIME_LENGTH,BF,12,14477,4,0,0,12,
humanevaljava,humanevaljava,PROD_SIGNS,BF,12,17968,4,0,0,12,
humanevaljava,humanevaljava,REMOVE_DUPLICATES,BF,8,11971,3,1,0,10,
humanevaljava,humanevaljava,REMOVE_VOWELS,BF,9,10721,3,0,0,9,
humanevaljava,humanevaljava,RESCALE_TO_UNIT,BF,3,9895,5,3,1,10,
humanevaljava,humanevaljava,REVERSE_DELETE,BF,10,19858,4,1,0,12,
humanevaljava,humanevaljava,RIGHT_ANGLE_TRIANGLE,BF,9,11363,3,0,0,9,
humanevaljava,humanevaljava,ROLLING_MAX,BF,12,16339,5,1,0,14,
humanevaljava,humanevaljava,ROUNDED_AVG,BF,2,10458,4,3,0,8,
humanevaljava,humanevaljava,SAME_CHARS,BF,7,16104,4,1,0,9,
humanevaljava,humanevaljava,SEARCH,BF,5,14683,5,4,0,13,
humanevaljava,humanevaljava,SELECT_WORDS,BF,18,35458,6,0,1,18,
humanevaljava,humanevaljava,SEPARATE_PAREN_GROUPS,BF,11,21306,5,3,1,17,
humanevaljava,humanevaljava,SIMPLIFY,BF,9,14569,4,0,0,9,
humanevaljava,humanevaljava,SKJKASDKD,BF,12,28662,5,0,1,13,
humanevaljava,humanevaljava,SMALLEST_CHANGE,BF,10,16645,4,0,0,10,
humanevaljava,humanevaljava,SOLUTION,BF,6,10573,3,0,0,6,
