bug,file_name
ADD,humanevaljava_ADD_3.diff
ADD_ELEMENTS,humanevaljava_ADD_ELEMENTS_0.diff
ADD_EVEN_AT_ODD,humanevaljava_ADD_EVEN_AT_ODD_7.diff
ALL_PREFIXES,humanevaljava_ALL_PREFIXES_0.diff
ANY_INT,humanevaljava_ANY_INT_0.diff
BELOW_THRESHOLD,humanevaljava_BELOW_THRESHOLD_4.diff
BELOW_ZERO,humanevaljava_BELOW_ZERO_0.diff
BF,humanevaljava_BF_1.diff
CAN_ARRANGE,humanevaljava_CAN_ARRANGE_4.diff
CAR_RACE_COLLISION,humanevaljava_CAR_RACE_COLLISION_2.diff
CHOOSE_NUM,humanevaljava_CHOOSE_NUM_2.diff
CIRCULAR_SHIFT,humanevaljava_CIRCULAR_SHIFT_1.diff
COMMON,humanevaljava_COMMON_0.diff
COMPARE,humanevaljava_COMPARE_7.diff
CONCATENATE,humanevaljava_CONCATENATE_0.diff
CORRECT_BRACKETING,humanevaljava_CORRECT_BRACKETING_1.diff
COUNT_UPPER,humanevaljava_COUNT_UPPER_0.diff
COUNT_UP_TO,humanevaljava_COUNT_UP_TO_13.diff
DECIMAL_TO_BINARY,humanevaljava_DECIMAL_TO_BINARY_1.diff
DIGIT_SUM,humanevaljava_DIGIT_SUM_0.diff
DOUBLE_THE_DIFFERENCE,humanevaljava_DOUBLE_THE_DIFFERENCE_1.diff
EAT,humanevaljava_EAT_1.diff
FACTORIAL,humanevaljava_FACTORIAL_0.diff
FACTORIZE,humanevaljava_FACTORIZE_2.diff
FIBFIB,humanevaljava_FIBFIB_0.diff
FILTER_BY_PREFIX,humanevaljava_FILTER_BY_PREFIX_4.diff
FILTER_BY_SUBSTRING,humanevaljava_FILTER_BY_SUBSTRING_1.diff
FILTER_INTEGERS,humanevaljava_FILTER_INTEGERS_4.diff
FIND_CLOSEST_ELEMENTS,humanevaljava_FIND_CLOSEST_ELEMENTS_0.diff
FLIP_CASE,humanevaljava_FLIP_CASE_0.diff
GENERATE_INTEGERS,humanevaljava_GENERATE_INTEGERS_4.diff
GET_CLOSET_VOWEL,humanevaljava_GET_CLOSET_VOWEL_0.diff
GET_MAX_TRIPLES,humanevaljava_GET_MAX_TRIPLES_0.diff
GET_ODD_COLLATZ,humanevaljava_GET_ODD_COLLATZ_1.diff
GET_POSITIVE,humanevaljava_GET_POSITIVE_0.diff
GET_ROW,humanevaljava_GET_ROW_0.diff
HAS_CLOSE_ELEMENTS,humanevaljava_HAS_CLOSE_ELEMENTS_0.diff
HEX_KEY,humanevaljava_HEX_KEY_0.diff
INCR_LIST,humanevaljava_INCR_LIST_4.diff
IS_BORED,humanevaljava_IS_BORED_3.diff
IS_MULTIPLY_PRIME,humanevaljava_IS_MULTIPLY_PRIME_0.diff
IS_PALINDROME,humanevaljava_IS_PALINDROME_0.diff
IS_SIMPLE_POWER,humanevaljava_IS_SIMPLE_POWER_1.diff
IS_SORTED,humanevaljava_IS_SORTED_0.diff
LARGEST_PRIME_FACTOR,humanevaljava_LARGEST_PRIME_FACTOR_1.diff
LARGEST_SMALLEST_INTEGERS,humanevaljava_LARGEST_SMALLEST_INTEGERS_2.diff
LONGEST,humanevaljava_LONGEST_0.diff
MAKE_A_PILE,humanevaljava_MAKE_A_PILE_7.diff
MATCH_PARENS,humanevaljava_MATCH_PARENS_1.diff
MAX_FILL,humanevaljava_MAX_FILL_6.diff
MEAN_ABSOLUTE_DEVIATION,humanevaljava_MEAN_ABSOLUTE_DEVIATION_0.diff
MIN_PATH,humanevaljava_MIN_PATH_1.diff
MODP,humanevaljava_MODP_1.diff
MONOTONIC,humanevaljava_MONOTONIC_3.diff
MOVE_ONE_BALL,humanevaljava_MOVE_ONE_BALL_0.diff
MULTIPLY,humanevaljava_MULTIPLY_0.diff
NUMERICAL_LETTER_GRADE,humanevaljava_NUMERICAL_LETTER_GRADE_2.diff
PAIRS_SUM_TO_ZERO,humanevaljava_PAIRS_SUM_TO_ZERO_4.diff
PLUCK,humanevaljava_PLUCK_2.diff
PRIME_LENGTH,humanevaljava_PRIME_LENGTH_0.diff
REVERSE_DELETE,humanevaljava_REVERSE_DELETE_2.diff
ROLLING_MAX,humanevaljava_ROLLING_MAX_4.diff
SAME_CHARS,humanevaljava_SAME_CHARS_1.diff
SELECT_WORDS,humanevaljava_SELECT_WORDS_1.diff
SEPARATE_PAREN_GROUPS,humanevaljava_SEPARATE_PAREN_GROUPS_0.diff
SMALLEST_CHANGE,humanevaljava_SMALLEST_CHANGE_3.diff
SOLUTION,humanevaljava_SOLUTION_0.diff
STRING_SEQUENCE,humanevaljava_STRING_SEQUENCE_0.diff
STRING_XOR,humanevaljava_STRING_XOR_0.diff
STRLEN,humanevaljava_STRLEN_0.diff
SUM_PRODUCT,humanevaljava_SUM_PRODUCT_4.diff
SUM_SQUARES,humanevaljava_SUM_SQUARES_1.diff
TOTAL_MATCH,humanevaljava_TOTAL_MATCH_1.diff
TRIPLES_SUM_TO_ZERO,humanevaljava_TRIPLES_SUM_TO_ZERO_1.diff
TRUNCATE_NUMBER,humanevaljava_TRUNCATE_NUMBER_3.diff
UNIQUE_DIGITS,humanevaljava_UNIQUE_DIGITS_3.diff
VOWELS_COUNT,humanevaljava_VOWELS_COUNT_0.diff
X_OR_Y,humanevaljava_X_OR_Y_0.diff
