bug,file_name
ADD,humanevaljava_ADD_0.diff
ADD_ELEMENTS,humanevaljava_ADD_ELEMENTS_0.diff
ADD_EVEN_AT_ODD,humanevaljava_ADD_EVEN_AT_ODD_3.diff
ALL_PREFIXES,humanevaljava_ALL_PREFIXES_0.diff
ANY_INT,humanevaljava_ANY_INT_0.diff
BELOW_THRESHOLD,humanevaljava_BELOW_THRESHOLD_0.diff
BELOW_ZERO,humanevaljava_BELOW_ZERO_0.diff
CAR_RACE_COLLISION,humanevaljava_CAR_RACE_COLLISION_0.diff
CHECK_DICT_CASE,humanevaljava_CHECK_DICT_CASE_0.diff
CHOOSE_NUM,humanevaljava_CHOOSE_NUM_0.diff
CIRCULAR_SHIFT,humanevaljava_CIRCULAR_SHIFT_0.diff
COMPARE,humanevaljava_COMPARE_0.diff
CONCATENATE,humanevaljava_CONCATENATE_0.diff
CORRECT_BRACKETING,humanevaljava_CORRECT_BRACKETING_0.diff
COUNT_NUMS,humanevaljava_COUNT_NUMS_0.diff
COUNT_UPPER,humanevaljava_COUNT_UPPER_0.diff
COUNT_UP_TO,humanevaljava_COUNT_UP_TO_2.diff
DECIMAL_TO_BINARY,humanevaljava_DECIMAL_TO_BINARY_0.diff
DIGIT_SUM,humanevaljava_DIGIT_SUM_0.diff
EXCHANGE,humanevaljava_EXCHANGE_0.diff
FACTORIAL,humanevaljava_FACTORIAL_0.diff
FIBFIB,humanevaljava_FIBFIB_0.diff
FILE_NAME_CHECK,humanevaljava_FILE_NAME_CHECK_2.diff
FILTER_BY_PREFIX,humanevaljava_FILTER_BY_PREFIX_0.diff
FILTER_BY_SUBSTRING,humanevaljava_FILTER_BY_SUBSTRING_2.diff
FILTER_INTEGERS,humanevaljava_FILTER_INTEGERS_0.diff
FIND_CLOSEST_ELEMENTS,humanevaljava_FIND_CLOSEST_ELEMENTS_0.diff
FLIP_CASE,humanevaljava_FLIP_CASE_0.diff
GET_CLOSET_VOWEL,humanevaljava_GET_CLOSET_VOWEL_0.diff
GET_MAX_TRIPLES,humanevaljava_GET_MAX_TRIPLES_0.diff
GET_ODD_COLLATZ,humanevaljava_GET_ODD_COLLATZ_0.diff
GET_POSITIVE,humanevaljava_GET_POSITIVE_0.diff
GET_ROW,humanevaljava_GET_ROW_0.diff
HAS_CLOSE_ELEMENTS,humanevaljava_HAS_CLOSE_ELEMENTS_0.diff
HEX_KEY,humanevaljava_HEX_KEY_0.diff
INCR_LIST,humanevaljava_INCR_LIST_2.diff
IS_MULTIPLY_PRIME,humanevaljava_IS_MULTIPLY_PRIME_0.diff
IS_SIMPLE_POWER,humanevaljava_IS_SIMPLE_POWER_0.diff
LONGEST,humanevaljava_LONGEST_0.diff
MAKE_A_PILE,humanevaljava_MAKE_A_PILE_1.diff
MATCH_PARENS,humanevaljava_MATCH_PARENS_0.diff
MAX_FILL,humanevaljava_MAX_FILL_3.diff
MEAN_ABSOLUTE_DEVIATION,humanevaljava_MEAN_ABSOLUTE_DEVIATION_0.diff
MODP,humanevaljava_MODP_0.diff
MOVE_ONE_BALL,humanevaljava_MOVE_ONE_BALL_0.diff
MULTIPLY,humanevaljava_MULTIPLY_0.diff
NUMERICAL_LETTER_GRADE,humanevaljava_NUMERICAL_LETTER_GRADE_2.diff
PAIRS_SUM_TO_ZERO,humanevaljava_PAIRS_SUM_TO_ZERO_0.diff
PLUCK,humanevaljava_PLUCK_0.diff
REVERSE_DELETE,humanevaljava_REVERSE_DELETE_0.diff
ROLLING_MAX,humanevaljava_ROLLING_MAX_0.diff
ROUNDED_AVG,humanevaljava_ROUNDED_AVG_0.diff
SELECT_WORDS,humanevaljava_SELECT_WORDS_0.diff
SOLUTION,humanevaljava_SOLUTION_0.diff
SPECIAL_FILTER,humanevaljava_SPECIAL_FILTER_0.diff
SPLIT_WORDS,humanevaljava_SPLIT_WORDS_2.diff
STRING_XOR,humanevaljava_STRING_XOR_0.diff
STRLEN,humanevaljava_STRLEN_0.diff
SUM_PRODUCT,humanevaljava_SUM_PRODUCT_0.diff
SUM_SQUARES,humanevaljava_SUM_SQUARES_1.diff
TOTAL_MATCH,humanevaljava_TOTAL_MATCH_2.diff
TRIPLES_SUM_TO_ZERO,humanevaljava_TRIPLES_SUM_TO_ZERO_0.diff
UNIQUE_DIGITS,humanevaljava_UNIQUE_DIGITS_0.diff
WILL_IT_FLY,humanevaljava_WILL_IT_FLY_0.diff
X_OR_Y,humanevaljava_X_OR_Y_0.diff
