framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
humanevaljava,humanevaljava,ADD,BF,3,3574,1,0,0,3,
humanevaljava,humanevaljava,ADD_ELEMENTS,BF,4,5186,1,0,0,4,
humanevaljava,humanevaljava,ADD_EVEN_AT_ODD,BF,4,4697,1,0,0,4,
humanevaljava,humanevaljava,ALL_PREFIXES,BF,1,3510,1,0,0,1,
humanevaljava,humanevaljava,ANTI_SHUFFLE,BF,4,4343,1,0,0,4,
humanevaljava,humanevaljava,ANY_INT,BF,4,4726,1,0,0,4,
humanevaljava,humanevaljava,BELOW_THRESHOLD,BF,3,4267,1,0,0,3,
humanevaljava,humanevaljava,BELOW_ZERO,BF,2,15651,12,12,0,43,
humanevaljava,humanevaljava,BF,BF,3,6586,1,0,1,3,
humanevaljava,humanevaljava,BY_LENGTH,BF,4,6907,1,0,0,4,
humanevaljava,humanevaljava,CAN_ARRANGE,BF,4,5316,1,0,0,4,
humanevaljava,humanevaljava,CAR_RACE_COLLISION,BF,2,8123,4,4,0,11,
humanevaljava,humanevaljava,CHANGE_BASE,BF,4,4639,1,0,0,4,
humanevaljava,humanevaljava,CHECK_DICT_CASE,BF,4,6169,1,0,0,4,
humanevaljava,humanevaljava,CHECK_IF_LAST_CHAR_IS_A_LETTER,BF,3,6164,1,1,0,5,
humanevaljava,humanevaljava,CHOOSE_NUM,BF,3,3626,1,1,0,5,
humanevaljava,humanevaljava,CIRCULAR_SHIFT,BF,1,4714,1,2,0,5,
humanevaljava,humanevaljava,CLOSEST_INTEGER,BF,3,5193,1,1,0,5,
humanevaljava,humanevaljava,COMMON,BF,4,5793,1,0,0,4,
humanevaljava,humanevaljava,COMPARE,BF,3,5130,1,0,0,3,
humanevaljava,humanevaljava,COMPARE_ONE,BF,4,6178,1,0,0,4,
humanevaljava,humanevaljava,CONCATENATE,BF,1,2754,1,0,0,1,
humanevaljava,humanevaljava,CORRECT_BRACKETING,BF,4,4379,1,0,0,4,
humanevaljava,humanevaljava,COUNT_DISTINCT_CHARACTERS,BF,3,3909,1,0,0,3,
humanevaljava,humanevaljava,COUNT_NUMS,BF,2,43390,23,14,0,146,
humanevaljava,humanevaljava,COUNT_UPPER,BF,4,4622,1,0,0,4,
humanevaljava,humanevaljava,COUNT_UP_TO,BF,4,5056,1,0,0,4,
humanevaljava,humanevaljava,CYCPATTERN_CHECK,BF,4,5522,1,0,0,4,
humanevaljava,humanevaljava,DECIMAL_TO_BINARY,BF,4,5016,1,0,0,4,
humanevaljava,humanevaljava,DECODE_CYCLIC,BF,4,9768,4,2,1,9,
humanevaljava,humanevaljava,DECODE_SHIFT,BF,4,4920,1,0,0,4,
humanevaljava,humanevaljava,DERIVATIVE,BF,4,4246,1,0,0,4,
humanevaljava,humanevaljava,DIGITS,BF,4,4555,1,0,0,4,
humanevaljava,humanevaljava,DIGIT_SUM,BF,1,4239,1,0,0,1,
humanevaljava,humanevaljava,DOUBLE_THE_DIFFERENCE,BF,4,6293,2,1,0,6,
humanevaljava,humanevaljava,DO_ALGEBRA,BF,3,6153,1,0,0,3,
humanevaljava,humanevaljava,EAT,BF,4,4787,1,0,0,4,
humanevaljava,humanevaljava,ENCODE,BF,2,5797,1,2,0,6,
humanevaljava,humanevaljava,ENCRYPT,BF,4,4742,1,0,0,4,
humanevaljava,humanevaljava,EVEN_ODD_COUNT,BF,2,5149,1,2,0,6,
humanevaljava,humanevaljava,EVEN_ODD_PALINDROME,BF,4,6750,1,0,0,4,
humanevaljava,humanevaljava,EXCHANGE,BF,4,6436,1,0,0,4,
humanevaljava,humanevaljava,FACTORIAL,BF,3,5366,1,1,0,5,
humanevaljava,humanevaljava,FACTORIZE,BF,4,4331,1,0,0,4,
humanevaljava,humanevaljava,FIB,BF,4,3112,1,0,0,4,
humanevaljava,humanevaljava,FIB4,BF,4,5272,1,0,0,4,
humanevaljava,humanevaljava,FIBFIB,BF,4,4270,1,0,0,4,
humanevaljava,humanevaljava,FILE_NAME_CHECK,BF,4,7399,1,0,0,4,
humanevaljava,humanevaljava,FILTER_BY_PREFIX,BF,3,4894,1,0,0,3,
humanevaljava,humanevaljava,FILTER_BY_SUBSTRING,BF,3,3778,1,0,0,3,
humanevaljava,humanevaljava,FILTER_INTEGERS,BF,2,3737,1,1,0,4,
humanevaljava,humanevaljava,FIND_CLOSEST_ELEMENTS,BF,4,5058,1,0,0,4,
humanevaljava,humanevaljava,FIND_MAX,BF,4,5817,1,0,0,4,
humanevaljava,humanevaljava,FIND_ZERO,BF,2,8866,3,4,0,10,
humanevaljava,humanevaljava,FIX_SPACES,BF,4,7038,1,0,1,4,
