bug,file_name
ADD,humanevaljava_ADD_5.diff
ADD_ELEMENTS,humanevaljava_ADD_ELEMENTS_0.diff
ADD_EVEN_AT_ODD,humanevaljava_ADD_EVEN_AT_ODD_7.diff
ALL_PREFIXES,humanevaljava_ALL_PREFIXES_0.diff
ANY_INT,humanevaljava_ANY_INT_0.diff
BELOW_THRESHOLD,humanevaljava_BELOW_THRESHOLD_4.diff
BELOW_ZERO,humanevaljava_BELOW_ZERO_0.diff
BF,humanevaljava_BF_2.diff
CAR_RACE_COLLISION,humanevaljava_CAR_RACE_COLLISION_0.diff
CHECK_DICT_CASE,humanevaljava_CHECK_DICT_CASE_5.diff
CIRCULAR_SHIFT,humanevaljava_CIRCULAR_SHIFT_0.diff
COMPARE,humanevaljava_COMPARE_0.diff
COMPARE_ONE,humanevaljava_COMPARE_ONE_0.diff
CONCATENATE,humanevaljava_CONCATENATE_0.diff
CORRECT_BRACKETING,humanevaljava_CORRECT_BRACKETING_1.diff
COUNT_DISTINCT_CHARACTERS,humanevaljava_COUNT_DISTINCT_CHARACTERS_0.diff
COUNT_UPPER,humanevaljava_COUNT_UPPER_0.diff
COUNT_UP_TO,humanevaljava_COUNT_UP_TO_8.diff
DECIMAL_TO_BINARY,humanevaljava_DECIMAL_TO_BINARY_8.diff
DIGIT_SUM,humanevaljava_DIGIT_SUM_0.diff
DOUBLE_THE_DIFFERENCE,humanevaljava_DOUBLE_THE_DIFFERENCE_0.diff
ENCODE,humanevaljava_ENCODE_1.diff
EXCHANGE,humanevaljava_EXCHANGE_0.diff
FACTORIAL,humanevaljava_FACTORIAL_10.diff
FACTORIZE,humanevaljava_FACTORIZE_0.diff
FIBFIB,humanevaljava_FIBFIB_0.diff
FILE_NAME_CHECK,humanevaljava_FILE_NAME_CHECK_1.diff
FILTER_BY_PREFIX,humanevaljava_FILTER_BY_PREFIX_0.diff
FILTER_BY_SUBSTRING,humanevaljava_FILTER_BY_SUBSTRING_2.diff
FILTER_INTEGERS,humanevaljava_FILTER_INTEGERS_0.diff
FIND_CLOSEST_ELEMENTS,humanevaljava_FIND_CLOSEST_ELEMENTS_0.diff
FIX_SPACES,humanevaljava_FIX_SPACES_4.diff
FLIP_CASE,humanevaljava_FLIP_CASE_8.diff
GET_CLOSET_VOWEL,humanevaljava_GET_CLOSET_VOWEL_3.diff
GET_MAX_TRIPLES,humanevaljava_GET_MAX_TRIPLES_0.diff
GET_POSITIVE,humanevaljava_GET_POSITIVE_0.diff
GET_ROW,humanevaljava_GET_ROW_1.diff
HAS_CLOSE_ELEMENTS,humanevaljava_HAS_CLOSE_ELEMENTS_0.diff
HEX_KEY,humanevaljava_HEX_KEY_0.diff
HISTOGRAM,humanevaljava_HISTOGRAM_1.diff
INCR_LIST,humanevaljava_INCR_LIST_7.diff
INTERSPERSE,humanevaljava_INTERSPERSE_1.diff
IS_BORED,humanevaljava_IS_BORED_0.diff
IS_EQUAL_TO_SUM_EVEN,humanevaljava_IS_EQUAL_TO_SUM_EVEN_1.diff
IS_MULTIPLY_PRIME,humanevaljava_IS_MULTIPLY_PRIME_0.diff
IS_PALINDROME,humanevaljava_IS_PALINDROME_0.diff
IS_SIMPLE_POWER,humanevaljava_IS_SIMPLE_POWER_0.diff
IS_SORTED,humanevaljava_IS_SORTED_0.diff
LARGEST_DIVISOR,humanevaljava_LARGEST_DIVISOR_2.diff
LARGEST_PRIME_FACTOR,humanevaljava_LARGEST_PRIME_FACTOR_0.diff
LARGEST_SMALLEST_INTEGERS,humanevaljava_LARGEST_SMALLEST_INTEGERS_2.diff
LONGEST,humanevaljava_LONGEST_0.diff
MAKE_A_PILE,humanevaljava_MAKE_A_PILE_0.diff
MATCH_PARENS,humanevaljava_MATCH_PARENS_1.diff
MAX_ELEMENT,humanevaljava_MAX_ELEMENT_1.diff
MAX_FILL,humanevaljava_MAX_FILL_2.diff
MEAN_ABSOLUTE_DEVIATION,humanevaljava_MEAN_ABSOLUTE_DEVIATION_0.diff
MEDIAN,humanevaljava_MEDIAN_0.diff
MODP,humanevaljava_MODP_0.diff
MOVE_ONE_BALL,humanevaljava_MOVE_ONE_BALL_0.diff
MULTIPLY,humanevaljava_MULTIPLY_0.diff
NUMERICAL_LETTER_GRADE,humanevaljava_NUMERICAL_LETTER_GRADE_3.diff
PAIRS_SUM_TO_ZERO,humanevaljava_PAIRS_SUM_TO_ZERO_1.diff
PLUCK,humanevaljava_PLUCK_3.diff
PRIME_LENGTH,humanevaljava_PRIME_LENGTH_0.diff
PROD_SIGNS,humanevaljava_PROD_SIGNS_9.diff
RESCALE_TO_UNIT,humanevaljava_RESCALE_TO_UNIT_1.diff
REVERSE_DELETE,humanevaljava_REVERSE_DELETE_4.diff
ROLLING_MAX,humanevaljava_ROLLING_MAX_3.diff
ROUNDED_AVG,humanevaljava_ROUNDED_AVG_2.diff
SELECT_WORDS,humanevaljava_SELECT_WORDS_5.diff
SKJKASDKD,humanevaljava_SKJKASDKD_1.diff
SOLUTION,humanevaljava_SOLUTION_0.diff
SOLVE,humanevaljava_SOLVE_1.diff
SPLIT_WORDS,humanevaljava_SPLIT_WORDS_5.diff
STRING_SEQUENCE,humanevaljava_STRING_SEQUENCE_0.diff
STRING_XOR,humanevaljava_STRING_XOR_0.diff
STRLEN,humanevaljava_STRLEN_0.diff
SUM_PRODUCT,humanevaljava_SUM_PRODUCT_0.diff
SUM_SQUARES,humanevaljava_SUM_SQUARES_2.diff
TOTAL_MATCH,humanevaljava_TOTAL_MATCH_6.diff
TRIANGLE_AREA,humanevaljava_TRIANGLE_AREA_8.diff
TRIPLES_SUM_TO_ZERO,humanevaljava_TRIPLES_SUM_TO_ZERO_0.diff
TRUNCATE_NUMBER,humanevaljava_TRUNCATE_NUMBER_5.diff
UNIQUE_DIGITS,humanevaljava_UNIQUE_DIGITS_3.diff
VALID_DATE,humanevaljava_VALID_DATE_1.diff
X_OR_Y,humanevaljava_X_OR_Y_0.diff
