framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
humanevaljava,humanevaljava,ADD,BF,8,10924,4,0,0,8,
humanevaljava,humanevaljava,ADD_ELEMENTS,BF,12,19259,5,0,0,12,
humanevaljava,humanevaljava,ADD_EVEN_AT_ODD,BF,13,16623,7,0,0,13,
humanevaljava,humanevaljava,ALL_PREFIXES,BF,7,11372,5,2,0,11,
humanevaljava,humanevaljava,ANTI_SHUFFLE,BF,18,19722,6,0,0,18,
humanevaljava,humanevaljava,ANY_INT,BF,12,16280,6,0,0,12,
humanevaljava,humanevaljava,BELOW_THRESHOLD,BF,5,12548,6,1,0,7,
humanevaljava,humanevaljava,BELOW_ZERO,BF,2,16747,12,11,0,24,
humanevaljava,humanevaljava,BF,BF,9,20418,5,1,1,12,
humanevaljava,humanevaljava,BY_LENGTH,BF,17,29830,6,1,0,19,
humanevaljava,humanevaljava,CAN_ARRANGE,BF,16,20382,7,0,0,16,
humanevaljava,humanevaljava,CAR_RACE_COLLISION,BF,5,14772,4,1,0,7,
humanevaljava,humanevaljava,CHANGE_BASE,BF,15,23574,8,2,0,19,
humanevaljava,humanevaljava,CHECK_DICT_CASE,BF,18,32057,8,0,0,18,
humanevaljava,humanevaljava,CHECK_IF_LAST_CHAR_IS_A_LETTER,BF,17,28896,8,3,0,23,
humanevaljava,humanevaljava,CHOOSE_NUM,BF,15,19133,6,2,0,19,
humanevaljava,humanevaljava,CIRCULAR_SHIFT,BF,3,21105,8,10,0,23,
humanevaljava,humanevaljava,CLOSEST_INTEGER,BF,19,27616,7,1,0,21,
humanevaljava,humanevaljava,COMMON,BF,16,23788,5,0,0,16,
humanevaljava,humanevaljava,COMPARE,BF,10,23393,7,0,1,11,
humanevaljava,humanevaljava,COMPARE_ONE,BF,18,29290,7,0,0,18,
humanevaljava,humanevaljava,CONCATENATE,BF,7,9544,6,3,0,13,
humanevaljava,humanevaljava,CORRECT_BRACKETING,BF,12,18819,7,0,0,12,
humanevaljava,humanevaljava,COUNT_DISTINCT_CHARACTERS,BF,6,10408,5,1,0,8,
humanevaljava,humanevaljava,COUNT_NUMS,BF,1,49953,36,27,1,90,
humanevaljava,humanevaljava,COUNT_UPPER,BF,4,16365,6,1,1,7,
humanevaljava,humanevaljava,COUNT_UP_TO,BF,11,20788,5,0,0,11,
humanevaljava,humanevaljava,CYCPATTERN_CHECK,BF,16,21610,8,0,0,16,
humanevaljava,humanevaljava,DECIMAL_TO_BINARY,BF,13,17130,5,0,0,13,
humanevaljava,humanevaljava,DECODE_CYCLIC,BF,4,16151,7,7,0,18,
humanevaljava,humanevaljava,DECODE_SHIFT,BF,16,21740,8,0,0,16,
humanevaljava,humanevaljava,DERIVATIVE,BF,11,18013,6,0,0,11,
humanevaljava,humanevaljava,DIGITS,BF,15,23465,10,1,0,17,
humanevaljava,humanevaljava,DIGIT_SUM,BF,8,12124,4,0,0,8,
humanevaljava,humanevaljava,DOUBLE_THE_DIFFERENCE,BF,9,18842,6,0,1,10,
humanevaljava,humanevaljava,DO_ALGEBRA,BF,18,32356,8,1,0,20,
humanevaljava,humanevaljava,EAT,BF,11,16667,5,0,0,11,
humanevaljava,humanevaljava,ENCODE,BF,15,28087,8,5,0,25,
humanevaljava,humanevaljava,ENCRYPT,BF,16,20646,8,0,0,16,
humanevaljava,humanevaljava,EVEN_ODD_COUNT,BF,12,18945,5,4,0,20,
humanevaljava,humanevaljava,EVEN_ODD_PALINDROME,BF,18,30809,7,0,0,18,
humanevaljava,humanevaljava,EXCHANGE,BF,21,29174,8,0,0,21,
humanevaljava,humanevaljava,FACTORIAL,BF,11,21138,6,0,0,11,
humanevaljava,humanevaljava,FACTORIZE,BF,9,13946,5,2,0,13,
humanevaljava,humanevaljava,FIB,BF,15,11602,5,0,0,15,
humanevaljava,humanevaljava,FIB4,BF,15,20417,5,1,0,17,
humanevaljava,humanevaljava,FIBFIB,BF,15,14757,5,0,0,15,
humanevaljava,humanevaljava,FILE_NAME_CHECK,BF,16,28598,6,0,0,16,
humanevaljava,humanevaljava,FILTER_BY_PREFIX,BF,5,12501,5,1,1,8,
humanevaljava,humanevaljava,FILTER_BY_SUBSTRING,BF,6,14623,5,0,0,6,
humanevaljava,humanevaljava,FILTER_INTEGERS,BF,12,14978,7,0,0,12,
humanevaljava,humanevaljava,FIND_CLOSEST_ELEMENTS,BF,12,18156,5,0,0,12,
humanevaljava,humanevaljava,FIND_MAX,BF,12,24317,7,3,0,18,
humanevaljava,humanevaljava,FIND_ZERO,BF,5,23520,7,12,0,29,
humanevaljava,humanevaljava,FIX_SPACES,BF,20,27439,7,0,1,21,
humanevaljava,humanevaljava,FIZZ_BUZZ,BF,12,16860,7,1,0,14,
humanevaljava,humanevaljava,FLIP_CASE,BF,9,14039,7,1,0,11,
humanevaljava,humanevaljava,FRUIT_DISTRIBUTION,BF,15,18234,5,1,0,17,
humanevaljava,humanevaljava,GENERATE_INTEGERS,BF,2,92022,52,22,0,109,
humanevaljava,humanevaljava,GET_CLOSET_VOWEL,BF,8,26059,10,1,0,10,
humanevaljava,humanevaljava,GET_MAX_TRIPLES,BF,10,25982,5,1,0,12,
humanevaljava,humanevaljava,GET_ODD_COLLATZ,BF,13,24135,5,1,0,15,
humanevaljava,humanevaljava,GET_POSITIVE,BF,4,11920,5,0,0,4,
humanevaljava,humanevaljava,GET_ROW,BF,4,24178,7,5,5,19,
humanevaljava,humanevaljava,GREATEST_COMMON_DIVISOR,BF,9,14267,6,2,0,13,
humanevaljava,humanevaljava,HAS_CLOSE_ELEMENTS,BF,9,15626,7,2,0,13,
humanevaljava,humanevaljava,HEX_KEY,BF,12,21399,6,2,1,17,
humanevaljava,humanevaljava,HISTOGRAM,BF,18,32228,7,0,0,18,
humanevaljava,humanevaljava,HOW_MANY_TIMES,BF,5,12894,5,3,1,12,
humanevaljava,humanevaljava,INCR_LIST,BF,12,16880,5,0,0,12,
humanevaljava,humanevaljava,INTERSECTION,BF,14,26246,5,2,0,18,
humanevaljava,humanevaljava,INTERSPERSE,BF,8,19504,7,0,0,8,
humanevaljava,humanevaljava,INT_TO_MINI_ROMAN,BF,12,27042,6,1,1,15,
humanevaljava,humanevaljava,ISCUBE,BF,15,23428,10,2,1,20,
humanevaljava,humanevaljava,IS_BORED,BF,15,18567,8,0,1,16,
humanevaljava,humanevaljava,IS_EQUAL_TO_SUM_EVEN,BF,9,15378,7,0,0,9,
humanevaljava,humanevaljava,IS_HAPPY,BF,10,18197,6,0,0,10,
humanevaljava,humanevaljava,IS_MULTIPLY_PRIME,BF,10,26192,7,6,0,22,
humanevaljava,humanevaljava,IS_NESTED,BF,2,37282,21,22,0,46,
humanevaljava,humanevaljava,IS_PALINDROME,BF,7,12301,5,1,0,9,
humanevaljava,humanevaljava,IS_PRIME,BF,11,13838,6,2,0,15,
humanevaljava,humanevaljava,IS_SIMPLE_POWER,BF,15,18965,5,0,0,15,
humanevaljava,humanevaljava,IS_SORTED,BF,18,31201,7,0,0,18,
humanevaljava,humanevaljava,LARGEST_DIVISOR,BF,11,13025,5,1,0,13,
humanevaljava,humanevaljava,LARGEST_PRIME_FACTOR,BF,12,17635,5,0,0,12,
humanevaljava,humanevaljava,LARGEST_SMALLEST_INTEGERS,BF,18,30533,10,2,1,23,
humanevaljava,humanevaljava,LONGEST,BF,18,18889,7,1,0,20,
humanevaljava,humanevaljava,MAKE_A_PILE,BF,16,19889,5,2,0,20,
humanevaljava,humanevaljava,MAKE_PALINDROME,BF,10,21916,7,6,0,22,
humanevaljava,humanevaljava,MATCH_PARENS,BF,10,19860,6,1,1,13,
humanevaljava,humanevaljava,MAXIMUM_K,BF,8,17092,5,2,0,12,
humanevaljava,humanevaljava,MAX_ELEMENT,BF,9,13331,6,0,1,10,
humanevaljava,humanevaljava,MAX_FILL,BF,10,22538,6,0,0,10,
humanevaljava,humanevaljava,MEAN_ABSOLUTE_DEVIATION,BF,6,10906,5,0,1,7,
humanevaljava,humanevaljava,MEDIAN,BF,14,20435,7,0,0,14,
humanevaljava,humanevaljava,MIN_PATH,BF,17,49187,9,5,0,27,
humanevaljava,humanevaljava,MIN_SUBARRAY_SUM,BF,18,24966,7,0,0,18,
humanevaljava,humanevaljava,MODP,BF,11,13500,5,1,0,13,
humanevaljava,humanevaljava,MONOTONIC,BF,17,22793,7,0,0,17,
humanevaljava,humanevaljava,MOVE_ONE_BALL,BF,16,24626,8,1,1,19,
humanevaljava,humanevaljava,MULTIPLY,BF,5,9924,5,0,0,5,
humanevaljava,humanevaljava,NEXT_SMALLEST,BF,18,19277,6,0,0,18,
humanevaljava,humanevaljava,NUMERICAL_LETTER_GRADE,BF,4,28014,6,1,2,8,
humanevaljava,humanevaljava,ODD_COUNT,BF,12,21965,5,0,0,12,
humanevaljava,humanevaljava,ORDER_BY_POINTS,BF,1,368361,175,151,17,971,
humanevaljava,humanevaljava,PAIRS_SUM_TO_ZERO,BF,8,14525,5,1,0,10,
humanevaljava,humanevaljava,PARSE_MUSIC,BF,9,14752,5,4,0,17,
humanevaljava,humanevaljava,PARSE_NESTED_PARENS,BF,5,12982,5,0,0,5,
humanevaljava,humanevaljava,PLUCK,BF,15,31063,8,0,0,15,
humanevaljava,humanevaljava,PRIME_FIB,BF,15,21848,7,0,0,15,
humanevaljava,humanevaljava,PRIME_LENGTH,BF,17,16620,5,0,0,17,
humanevaljava,humanevaljava,PROD_SIGNS,BF,19,28182,8,0,0,19,
humanevaljava,humanevaljava,REMOVE_DUPLICATES,BF,11,19372,8,0,0,11,
humanevaljava,humanevaljava,REMOVE_VOWELS,BF,13,17517,6,1,1,16,
humanevaljava,humanevaljava,RESCALE_TO_UNIT,BF,8,20107,6,1,5,15,
humanevaljava,humanevaljava,REVERSE_DELETE,BF,15,20549,5,0,0,15,
humanevaljava,humanevaljava,RIGHT_ANGLE_TRIANGLE,BF,15,18280,6,0,0,15,
humanevaljava,humanevaljava,ROLLING_MAX,BF,11,17254,5,0,0,11,
humanevaljava,humanevaljava,ROUNDED_AVG,BF,17,28241,8,5,0,27,
humanevaljava,humanevaljava,SAME_CHARS,BF,5,16762,5,1,0,7,
humanevaljava,humanevaljava,SEARCH,BF,16,26336,8,0,0,16,
humanevaljava,humanevaljava,SELECT_WORDS,BF,21,34770,7,0,0,21,
humanevaljava,humanevaljava,SEPARATE_PAREN_GROUPS,BF,16,23214,7,3,0,22,
humanevaljava,humanevaljava,SIMPLIFY,BF,14,20435,5,2,0,18,
humanevaljava,humanevaljava,SKJKASDKD,BF,18,31283,6,0,0,18,
humanevaljava,humanevaljava,SMALLEST_CHANGE,BF,12,18819,5,0,0,12,
humanevaljava,humanevaljava,SOLUTION,BF,4,18125,6,0,2,6,
humanevaljava,humanevaljava,SOLVE,BF,11,18820,6,0,0,11,
humanevaljava,humanevaljava,SOLVE_STRING,BF,15,19159,6,0,0,15,
humanevaljava,humanevaljava,SORTED_LIST_SUM,BF,11,17598,5,2,0,15,
humanevaljava,humanevaljava,SORT_ARRAY,BF,15,20410,5,0,0,15,
humanevaljava,humanevaljava,SORT_ARRAY_BINARY,BF,15,26642,5,0,0,15,
humanevaljava,humanevaljava,SORT_EVEN,BF,7,14750,6,2,1,12,
humanevaljava,humanevaljava,SORT_NUMBERS,BF,17,26658,7,0,0,17,
humanevaljava,humanevaljava,SORT_THIRD,BF,18,22713,7,0,0,18,
humanevaljava,humanevaljava,SPECIAL_FACTORIAL,BF,11,18352,6,1,0,13,
humanevaljava,humanevaljava,SPECIAL_FILTER,BF,16,27120,7,3,0,22,
humanevaljava,humanevaljava,SPLIT_WORDS,BF,12,19032,5,0,0,12,
humanevaljava,humanevaljava,STARTS_ONE_ENDS,BF,11,23007,7,8,0,27,
humanevaljava,humanevaljava,STRANGE_SORT_LIST,BF,13,19550,5,0,0,13,
humanevaljava,humanevaljava,STRING_SEQUENCE,BF,17,13187,5,0,0,17,
humanevaljava,humanevaljava,STRING_TO_MD5,BF,8,13987,5,0,2,10,
humanevaljava,humanevaljava,STRING_XOR,BF,14,14735,5,0,0,14,
humanevaljava,humanevaljava,STRLEN,BF,3,7390,5,3,0,9,
humanevaljava,humanevaljava,STRONGEST_EXTENSION,BF,16,29632,8,0,0,16,
humanevaljava,humanevaljava,SUM_PRODUCT,BF,14,15978,6,0,1,15,
humanevaljava,humanevaljava,SUM_SQUARED_NUMS,BF,11,24032,7,1,0,13,
humanevaljava,humanevaljava,SUM_SQUARES,BF,12,22852,6,1,2,16,
humanevaljava,humanevaljava,SUM_TO_N,BF,10,15331,5,0,0,10,
humanevaljava,humanevaljava,TOTAL_MATCH,BF,7,22611,5,1,0,9,
humanevaljava,humanevaljava,TRI,BF,1,26863,10,12,0,25,
humanevaljava,humanevaljava,TRIANGLE_AREA,BF,10,13036,5,1,0,12,
humanevaljava,humanevaljava,TRIANGLE_AREA_2,BF,2,14342,6,0,1,3,
humanevaljava,humanevaljava,TRIPLES_SUM_TO_ZERO,BF,15,24547,5,0,0,15,
humanevaljava,humanevaljava,TRUNCATE_NUMBER,BF,7,12951,5,1,0,9,
humanevaljava,humanevaljava,UNIQUE,BF,9,13184,5,2,0,13,
humanevaljava,humanevaljava,UNIQUE_DIGITS,BF,13,23973,5,0,0,13,
humanevaljava,humanevaljava,VALID_DATE,BF,15,32253,6,0,0,15,
humanevaljava,humanevaljava,VOWELS_COUNT,BF,8,13872,5,2,1,13,
humanevaljava,humanevaljava,WILL_IT_FLY,BF,15,23128,5,0,0,15,
humanevaljava,humanevaljava,WORDS_IN_SENTENCE,BF,17,25757,7,0,0,17,
humanevaljava,humanevaljava,WORDS_STRINGS,BF,16,21401,5,0,0,16,
humanevaljava,humanevaljava,X_OR_Y,BF,15,20642,6,0,0,15,
