bug,file_name
ADD,humanevaljava_ADD_0.diff
ADD_ELEMENTS,humanevaljava_ADD_ELEMENTS_0.diff
ADD_EVEN_AT_ODD,humanevaljava_ADD_EVEN_AT_ODD_1.diff
ALL_PREFIXES,humanevaljava_ALL_PREFIXES_0.diff
ANY_INT,humanevaljava_ANY_INT_1.diff
BELOW_THRESHOLD,humanevaljava_BELOW_THRESHOLD_0.diff
BELOW_ZERO,humanevaljava_BELOW_ZERO_0.diff
BF,humanevaljava_BF_2.diff
CAN_ARRANGE,humanevaljava_CAN_ARRANGE_8.diff
CAR_RACE_COLLISION,humanevaljava_CAR_RACE_COLLISION_0.diff
CHOOSE_NUM,humanevaljava_CHOOSE_NUM_0.diff
CIRCULAR_SHIFT,humanevaljava_CIRCULAR_SHIFT_0.diff
CLOSEST_INTEGER,humanevaljava_CLOSEST_INTEGER_0.diff
COMPARE,humanevaljava_COMPARE_0.diff
COMPARE_ONE,humanevaljava_COMPARE_ONE_0.diff
CONCATENATE,humanevaljava_CONCATENATE_2.diff
CORRECT_BRACKETING,humanevaljava_CORRECT_BRACKETING_0.diff
COUNT_DISTINCT_CHARACTERS,humanevaljava_COUNT_DISTINCT_CHARACTERS_1.diff
COUNT_NUMS,humanevaljava_COUNT_NUMS_0.diff
COUNT_UPPER,humanevaljava_COUNT_UPPER_0.diff
COUNT_UP_TO,humanevaljava_COUNT_UP_TO_1.diff
DECIMAL_TO_BINARY,humanevaljava_DECIMAL_TO_BINARY_0.diff
DIGIT_SUM,humanevaljava_DIGIT_SUM_0.diff
DOUBLE_THE_DIFFERENCE,humanevaljava_DOUBLE_THE_DIFFERENCE_1.diff
EXCHANGE,humanevaljava_EXCHANGE_0.diff
FACTORIAL,humanevaljava_FACTORIAL_1.diff
FACTORIZE,humanevaljava_FACTORIZE_0.diff
FIBFIB,humanevaljava_FIBFIB_0.diff
FILE_NAME_CHECK,humanevaljava_FILE_NAME_CHECK_8.diff
FILTER_BY_PREFIX,humanevaljava_FILTER_BY_PREFIX_4.diff
FILTER_BY_SUBSTRING,humanevaljava_FILTER_BY_SUBSTRING_0.diff
FILTER_INTEGERS,humanevaljava_FILTER_INTEGERS_0.diff
FIND_CLOSEST_ELEMENTS,humanevaljava_FIND_CLOSEST_ELEMENTS_0.diff
FIX_SPACES,humanevaljava_FIX_SPACES_2.diff
FLIP_CASE,humanevaljava_FLIP_CASE_0.diff
GET_CLOSET_VOWEL,humanevaljava_GET_CLOSET_VOWEL_0.diff
GET_MAX_TRIPLES,humanevaljava_GET_MAX_TRIPLES_3.diff
GET_ODD_COLLATZ,humanevaljava_GET_ODD_COLLATZ_0.diff
GET_POSITIVE,humanevaljava_GET_POSITIVE_0.diff
GET_ROW,humanevaljava_GET_ROW_0.diff
HAS_CLOSE_ELEMENTS,humanevaljava_HAS_CLOSE_ELEMENTS_0.diff
HEX_KEY,humanevaljava_HEX_KEY_0.diff
HISTOGRAM,humanevaljava_HISTOGRAM_0.diff
INCR_LIST,humanevaljava_INCR_LIST_0.diff
INTERSECTION,humanevaljava_INTERSECTION_1.diff
INTERSPERSE,humanevaljava_INTERSPERSE_5.diff
IS_EQUAL_TO_SUM_EVEN,humanevaljava_IS_EQUAL_TO_SUM_EVEN_3.diff
IS_PALINDROME,humanevaljava_IS_PALINDROME_0.diff
IS_SIMPLE_POWER,humanevaljava_IS_SIMPLE_POWER_0.diff
IS_SORTED,humanevaljava_IS_SORTED_0.diff
LARGEST_DIVISOR,humanevaljava_LARGEST_DIVISOR_5.diff
LARGEST_PRIME_FACTOR,humanevaljava_LARGEST_PRIME_FACTOR_3.diff
LARGEST_SMALLEST_INTEGERS,humanevaljava_LARGEST_SMALLEST_INTEGERS_2.diff
LONGEST,humanevaljava_LONGEST_0.diff
MAKE_A_PILE,humanevaljava_MAKE_A_PILE_0.diff
MAX_ELEMENT,humanevaljava_MAX_ELEMENT_0.diff
MAX_FILL,humanevaljava_MAX_FILL_5.diff
MEAN_ABSOLUTE_DEVIATION,humanevaljava_MEAN_ABSOLUTE_DEVIATION_0.diff
MODP,humanevaljava_MODP_0.diff
MONOTONIC,humanevaljava_MONOTONIC_0.diff
MOVE_ONE_BALL,humanevaljava_MOVE_ONE_BALL_0.diff
MULTIPLY,humanevaljava_MULTIPLY_1.diff
NUMERICAL_LETTER_GRADE,humanevaljava_NUMERICAL_LETTER_GRADE_0.diff
PAIRS_SUM_TO_ZERO,humanevaljava_PAIRS_SUM_TO_ZERO_6.diff
PLUCK,humanevaljava_PLUCK_0.diff
PRIME_LENGTH,humanevaljava_PRIME_LENGTH_0.diff
PROD_SIGNS,humanevaljava_PROD_SIGNS_1.diff
RESCALE_TO_UNIT,humanevaljava_RESCALE_TO_UNIT_3.diff
REVERSE_DELETE,humanevaljava_REVERSE_DELETE_4.diff
ROLLING_MAX,humanevaljava_ROLLING_MAX_5.diff
ROUNDED_AVG,humanevaljava_ROUNDED_AVG_0.diff
SAME_CHARS,humanevaljava_SAME_CHARS_0.diff
SELECT_WORDS,humanevaljava_SELECT_WORDS_1.diff
SMALLEST_CHANGE,humanevaljava_SMALLEST_CHANGE_1.diff
SOLUTION,humanevaljava_SOLUTION_1.diff
SORTED_LIST_SUM,humanevaljava_SORTED_LIST_SUM_0.diff
