framework,project,bug_id,bug_type,ppc,rc,fppt,errtf,errce,tpc,comment
humanevaljava,humanevaljava,ADD,BF,6,7069,4,0,0,6,
humanevaljava,humanevaljava,ADD_ELEMENTS,BF,12,12778,5,0,0,12,
humanevaljava,humanevaljava,ADD_EVEN_AT_ODD,BF,5,7530,3,0,0,5,
humanevaljava,humanevaljava,ALL_PREFIXES,BF,7,6810,5,0,0,7,
humanevaljava,humanevaljava,ANTI_SHUFFLE,BF,18,15731,5,0,0,18,
humanevaljava,humanevaljava,ANY_INT,BF,12,11838,5,0,0,12,
humanevaljava,humanevaljava,BELOW_THRESHOLD,BF,1,5084,4,0,0,1,
humanevaljava,humanevaljava,BELOW_ZERO,BF,2,7142,9,8,0,18,
humanevaljava,humanevaljava,BF,BF,8,14835,4,2,0,12,
humanevaljava,humanevaljava,BY_LENGTH,BF,11,20331,5,2,0,15,
humanevaljava,humanevaljava,CAN_ARRANGE,BF,12,11178,5,2,0,16,
humanevaljava,humanevaljava,CAR_RACE_COLLISION,BF,2,5747,4,0,0,2,
humanevaljava,humanevaljava,CHANGE_BASE,BF,8,8304,5,3,0,14,
humanevaljava,humanevaljava,CHECK_DICT_CASE,BF,12,17398,5,0,0,12,
humanevaljava,humanevaljava,CHECK_IF_LAST_CHAR_IS_A_LETTER,BF,15,21137,7,3,0,21,
humanevaljava,humanevaljava,CHOOSE_NUM,BF,4,7968,6,4,0,12,
humanevaljava,humanevaljava,CIRCULAR_SHIFT,BF,3,9617,5,5,0,13,
humanevaljava,humanevaljava,CLOSEST_INTEGER,BF,10,13325,5,3,0,16,
humanevaljava,humanevaljava,COMMON,BF,16,18162,5,0,0,16,
humanevaljava,humanevaljava,COMPARE,BF,7,10427,4,0,0,7,
humanevaljava,humanevaljava,COMPARE_ONE,BF,16,24184,7,0,0,16,
humanevaljava,humanevaljava,CONCATENATE,BF,4,3940,4,2,0,8,
humanevaljava,humanevaljava,CORRECT_BRACKETING,BF,4,7456,6,0,0,4,
humanevaljava,humanevaljava,COUNT_DISTINCT_CHARACTERS,BF,6,6783,4,0,0,6,
humanevaljava,humanevaljava,COUNT_NUMS,BF,2,6472,5,6,0,14,
humanevaljava,humanevaljava,COUNT_UPPER,BF,7,8575,4,0,0,7,
humanevaljava,humanevaljava,COUNT_UP_TO,BF,10,14243,5,0,0,10,
humanevaljava,humanevaljava,CYCPATTERN_CHECK,BF,15,14931,5,0,0,15,
humanevaljava,humanevaljava,DECIMAL_TO_BINARY,BF,4,7898,3,0,0,4,
humanevaljava,humanevaljava,DECODE_CYCLIC,BF,3,7643,5,5,0,13,
humanevaljava,humanevaljava,DECODE_SHIFT,BF,18,17823,5,0,0,18,
humanevaljava,humanevaljava,DERIVATIVE,BF,3,6865,5,0,0,3,
humanevaljava,humanevaljava,DIGITS,BF,4,7521,6,0,0,4,
humanevaljava,humanevaljava,DIGIT_SUM,BF,2,8252,4,0,0,2,
humanevaljava,humanevaljava,DOUBLE_THE_DIFFERENCE,BF,10,13087,5,0,1,10,
humanevaljava,humanevaljava,DO_ALGEBRA,BF,16,18461,5,0,0,16,
humanevaljava,humanevaljava,EAT,BF,9,12176,5,0,0,9,
humanevaljava,humanevaljava,ENCODE,BF,9,12453,5,3,0,15,
humanevaljava,humanevaljava,ENCRYPT,BF,8,10027,5,0,0,8,
humanevaljava,humanevaljava,EVEN_ODD_COUNT,BF,12,10299,3,0,0,12,
humanevaljava,humanevaljava,EVEN_ODD_PALINDROME,BF,8,15329,5,1,0,10,
humanevaljava,humanevaljava,EXCHANGE,BF,8,11401,5,0,0,8,
humanevaljava,humanevaljava,FACTORIAL,BF,5,11055,5,3,0,11,
humanevaljava,humanevaljava,FACTORIZE,BF,7,6656,3,0,0,7,
humanevaljava,humanevaljava,FIB,BF,11,11488,6,0,0,11,
humanevaljava,humanevaljava,FIB4,BF,6,10519,5,0,0,6,
humanevaljava,humanevaljava,FIBFIB,BF,16,14801,5,0,0,16,
humanevaljava,humanevaljava,FILE_NAME_CHECK,BF,12,22139,5,0,0,12,
humanevaljava,humanevaljava,FILTER_BY_PREFIX,BF,6,6956,3,0,0,6,
humanevaljava,humanevaljava,FILTER_BY_SUBSTRING,BF,2,6951,5,0,0,2,
humanevaljava,humanevaljava,FILTER_INTEGERS,BF,4,6699,5,1,0,6,
humanevaljava,humanevaljava,FIND_CLOSEST_ELEMENTS,BF,7,10005,5,0,1,7,
humanevaljava,humanevaljava,FIND_MAX,BF,12,15478,5,2,0,16,
humanevaljava,humanevaljava,FIND_ZERO,BF,1,10729,7,9,0,19,
humanevaljava,humanevaljava,FIX_SPACES,BF,14,23037,6,0,3,14,
humanevaljava,humanevaljava,FIZZ_BUZZ,BF,14,12828,6,1,0,16,
humanevaljava,humanevaljava,FLIP_CASE,BF,9,9044,4,1,0,11,
humanevaljava,humanevaljava,FRUIT_DISTRIBUTION,BF,9,14548,6,3,0,15,
humanevaljava,humanevaljava,GENERATE_INTEGERS,BF,4,6485,4,1,0,6,
humanevaljava,humanevaljava,GET_CLOSET_VOWEL,BF,8,16732,5,2,0,12,
humanevaljava,humanevaljava,GET_MAX_TRIPLES,BF,5,10365,5,0,0,5,
humanevaljava,humanevaljava,GET_ODD_COLLATZ,BF,16,22433,5,1,0,18,
humanevaljava,humanevaljava,GET_POSITIVE,BF,3,6403,5,0,0,3,
humanevaljava,humanevaljava,GET_ROW,BF,2,15768,7,4,3,10,
humanevaljava,humanevaljava,GREATEST_COMMON_DIVISOR,BF,7,5424,4,0,0,7,
humanevaljava,humanevaljava,HAS_CLOSE_ELEMENTS,BF,8,7551,5,1,0,10,
humanevaljava,humanevaljava,HEX_KEY,BF,8,10969,4,0,0,8,
humanevaljava,humanevaljava,HISTOGRAM,BF,15,20981,5,0,0,15,
humanevaljava,humanevaljava,HOW_MANY_TIMES,BF,8,8070,7,2,0,12,
humanevaljava,humanevaljava,INCR_LIST,BF,2,5658,4,0,0,2,
humanevaljava,humanevaljava,INTERSECTION,BF,6,13271,5,3,0,12,
humanevaljava,humanevaljava,INTERSPERSE,BF,6,8138,5,0,0,6,
humanevaljava,humanevaljava,INT_TO_MINI_ROMAN,BF,10,15950,5,0,2,10,
humanevaljava,humanevaljava,ISCUBE,BF,8,10090,5,4,0,16,
humanevaljava,humanevaljava,IS_BORED,BF,15,13591,6,1,0,17,
humanevaljava,humanevaljava,IS_EQUAL_TO_SUM_EVEN,BF,8,8443,5,0,0,8,
humanevaljava,humanevaljava,IS_HAPPY,BF,7,8840,4,0,0,7,
humanevaljava,humanevaljava,IS_MULTIPLY_PRIME,BF,7,12273,5,4,0,15,
humanevaljava,humanevaljava,IS_NESTED,BF,2,26349,15,18,0,38,
humanevaljava,humanevaljava,IS_PALINDROME,BF,9,9830,5,0,0,9,
